Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
07-10-2024 09:00,TKNSA,25.48,27.76,25.16,27.28,8744599.0,0.48,1.8,0.02,8900.0,1.8,3284176.0,166.26,True,0,,24.96,34.38,True,True
07-10-2024 09:00,GRNYO,9.25,10.15,9.2,9.99,2666094.0,0.16,0.74,0.1,670.83,0.74,999413.2,166.77,True,0,,8.75,11.85,False,False
04-10-2024 09:00,ENERY,213.9,227.1,212.2,225.4,1620271.0,1.7,11.5,0.87,1221.84,11.5,670314.8,141.72,True,0,,189.1,226.6,False,False
04-10-2024 09:00,AHGAZ,15.16,16.29,15.14,16.2,26880782.0,0.09,1.04,0.24,329.75,1.04,7768819.2,246.01,True,0,,13.62,16.78,False,False
04-10-2024 09:00,SELEC,64.95,71.5,63.7,70.5,2562145.0,1.0,5.55,0.08,6837.5,5.55,1099596.7,133.01,True,0,,48.18,72.25,False,False
04-10-2024 09:00,OBAMS,32.6,35.86,32.46,35.86,32148499.0,0.0,3.26,0.14,2228.57,3.26,8440710.6,280.87,True,0,,33.6,38.1,True,True
03-10-2024 09:00,BASCM,10.4,11.56,10.4,11.56,325715.0,0.0,1.16,0.04,2729.27,1.16,147270.3,121.17,True,0,,10.35,13.4,True,True
02-10-2024 09:00,SDTTR,229.3,252.0,227.7,252.0,4366040.0,0.0,22.7,1.85,1127.03,22.7,1215172.9,259.29,True,0,,221.1,322.0,True,True
02-10-2024 09:00,FRIGO,7.07,7.68,6.99,7.59,10678074.0,0.09,0.52,0.03,1693.1,0.52,6001927.2,77.91,True,0,,6.75,8.03,False,False
01-10-2024 09:00,KRTEK,25.68,28.04,25.26,28.04,3816411.0,0.0,2.36,0.21,1034.62,2.36,587317.9,549.8,True,0,,23.74,32.9,False,False
01-10-2024 09:00,KRSTL,6.14,6.51,5.89,6.51,80495168.0,0.0,0.37,0.05,704.35,0.37,12815332.7,528.12,True,0,,5.1,7.44,False,False
01-10-2024 09:00,ALTIN,31.68,32.68,31.58,32.43,51764007.0,0.25,0.75,0.29,154.24,0.75,31448586.4,64.6,True,0,,24.7,ATH,False,False
30-09-2024 09:00,YAPRK,402.0,428.5,395.5,421.0,226751.0,7.5,19.0,0.45,4122.22,19.0,73535.6,208.36,True,0,,392.25,448.75,False,False
