Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc
26-01-2024 09:00,OZRDN,57.0,62.85,55.3,62.85,1209939.0,0.0,5.85,1.64,256.71,5.85,782493.0,54.63,True,0,,36.66,ATH
26-01-2024 09:00,PETKM,20.48,22.2,20.42,21.82,122731421.0,0.38,1.34,0.07,1814.28,1.34,77776356.8,57.8,True,0,,16.96,22.74
26-01-2024 09:00,ALMAD,6.95,7.61,6.92,7.61,12491505.0,0.0,0.66,0.05,1194.12,0.66,4540761.2,175.1,True,0,,6.55,9.5
26-01-2024 09:00,HUNER,6.63,7.19,6.58,7.19,36432360.0,0.0,0.56,0.06,833.33,0.56,8676694.1,319.89,True,0,,5.61,10.54
26-01-2024 09:00,TTKOM,30.02,32.86,29.92,32.6,90027068.0,0.26,2.58,0.32,706.25,2.58,44959473.1,100.24,True,0,,23.2,ATH
26-01-2024 09:00,NUGYO,6.52,6.76,6.49,6.75,3009298.0,0.01,0.23,0.03,666.67,0.23,2003437.4,50.21,True,0,,5.54,8.02
26-01-2024 09:00,TSKB,7.75,8.19,7.66,8.13,54064800.0,0.06,0.38,0.04,874.36,0.38,34823771.1,55.25,True,0,,5.99,9.05
26-01-2024 09:00,VAKFN,5.35,5.84,5.27,5.84,35866539.0,0.0,0.49,0.07,600.0,0.49,18278620.2,96.22,True,0,,3.84,6.47
26-01-2024 09:00,ALARK,98.5,104.1,98.35,103.6,7797178.0,0.5,5.1,0.6,742.98,5.1,4596968.2,69.62,True,0,,84.8,114.5
26-01-2024 09:00,ATAKP,53.1,58.15,53.1,57.05,4195850.0,1.1,3.95,0.77,410.34,3.95,2107520.8,99.09,True,0,,36.1,62.45
26-01-2024 09:00,DZGYO,4.58,5.03,4.52,5.03,9722057.0,0.0,0.45,0.08,469.62,0.45,4196354.3,131.68,True,0,,3.39,5.38
26-01-2024 09:00,EGSER,3.89,4.16,3.86,4.13,8955495.0,0.03,0.24,0.04,485.37,0.24,5910918.2,51.51,True,0,,3.02,4.21
26-01-2024 09:00,EKGYO,9.59,10.39,9.51,10.29,542880610.0,0.1,0.7,0.19,270.37,0.7,314314012.1,72.72,True,0,,6.75,ATH
26-01-2024 09:00,PRDGS,6.93,7.44,6.91,7.32,5362051.0,0.12,0.39,0.07,473.53,0.39,2316238.0,131.5,True,0,,5.55,8.0
26-01-2024 09:00,KLMSN,26.36,27.46,26.12,27.36,1804898.0,0.1,1.0,0.35,187.36,1.0,1084975.2,66.35,True,0,,21.04,34.06
26-01-2024 09:00,KAYSE,34.1,37.4,33.94,36.48,23201505.0,0.92,2.38,0.26,808.4,2.38,8633519.6,168.74,True,0,,31.52,40.84
26-01-2024 09:00,SELGD,28.0,31.58,26.82,31.58,1439625.0,0.0,3.58,0.63,470.97,3.58,719430.5,100.11,True,0,,17.5,ATH
26-01-2024 09:00,ISMEN,31.76,34.14,31.22,33.58,17600766.0,0.56,1.82,0.11,1585.18,1.82,9050076.6,94.48,True,0,,28.6,45.8
26-01-2024 09:00,GRNYO,7.24,7.87,7.19,7.79,946963.0,0.08,0.55,0.12,350.82,0.55,449155.1,110.83,True,0,,6.15,8.8
26-01-2024 09:00,AGHOL,220.2,230.4,218.9,229.0,1520905.0,1.4,8.8,1.2,633.33,8.8,656937.6,131.51,True,0,,182.8,239.1
26-01-2024 09:00,INGRM,500.5,527.0,497.25,523.0,295898.0,4.0,22.5,0.5,4400.0,22.5,195996.6,50.97,True,0,,429.5,727.0
26-01-2024 09:00,HATSN,60.8,66.85,60.5,66.85,18088526.0,0.0,6.05,0.93,550.54,6.05,6893566.0,162.4,True,0,,42.24,78.0
26-01-2024 09:00,YUNSA,74.95,79.6,74.9,78.6,1542081.0,1.0,3.65,0.17,2047.06,3.65,750403.1,105.5,True,0,,66.4,79.95
26-01-2024 09:00,SISE,47.92,49.16,47.84,49.12,50038292.0,0.04,1.2,0.0,59873.06,1.2,28733860.4,74.14,True,0,,44.54,49.16
25-01-2024 09:00,RODRG,58.95,64.8,58.95,64.6,395284.0,0.2,5.65,0.61,826.23,5.65,140271.9,181.8,True,0,,48.92,66.4
25-01-2024 09:00,BOBET,34.4,36.34,34.36,36.04,9292106.0,0.3,1.64,0.13,1123.88,1.64,4443165.8,109.13,True,0,,27.22,50.8
25-01-2024 09:00,PRKME,20.96,22.24,20.96,22.22,2435150.0,0.02,1.26,0.12,986.21,1.26,1328285.1,83.33,True,0,,17.49,24.6
25-01-2024 09:00,QUAGR,3.95,4.31,3.94,4.31,105970440.0,0.0,0.36,0.02,1794.74,0.36,64877712.7,63.34,True,0,,ATL,6.25
25-01-2024 09:00,DMSAS,8.02,8.72,8.02,8.7,2606203.0,0.02,0.68,0.05,1136.37,0.68,954825.6,172.95,True,0,,7.29,10.0
25-01-2024 09:00,PARSN,96.2,103.0,96.2,101.6,1057279.0,1.4,5.4,0.76,610.53,5.4,466287.5,126.74,True,0,,81.85,113.8
25-01-2024 09:00,OZGYO,5.65,6.18,5.54,6.04,26441380.0,0.14,0.39,0.08,420.0,0.39,4761515.7,455.31,True,0,,4.6,6.95
