Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
09-12-2024 09:00,DERHL,11.15,16.48,11.05,15.08,93087678.0,1.4,3.93,0.61,542.16,3.93,39877451.8,133.43,True,65.15,2024-12-09,37.34,0,,7.7,16.06,False,False
09-12-2024 09:00,GSDDE,8.57,11.64,8.5,10.97,76204011.0,0.67,2.4,0.37,553.95,2.4,17455262.4,336.57,True,71.01,2024-12-09,28.3,0,,6.75,13.13,True,False
09-12-2024 09:00,ALKIM,17.05,19.19,16.96,18.81,28185028.0,0.38,1.76,0.26,574.33,1.76,10346399.4,172.41,True,62.85,2024-12-09,10.32,0,,15.08,22.47,False,False
09-12-2024 09:00,ALKA,6.76,8.49,6.69,8.18,98954856.0,0.31,1.42,0.19,659.36,1.42,22998110.8,330.27,True,67.95,2024-12-09,20.92,0,,6.04,9.07,True,False
09-12-2024 09:00,ALFAS,51.7,60.45,51.5,59.9,35113416.0,0.55,8.2,0.68,1111.23,8.2,15971978.5,119.84,True,48.85,2024-12-09,16.54,0,,46.84,123.5,True,False
09-12-2024 09:00,PRKME,18.19,18.9,18.16,18.78,4650956.0,0.12,0.59,0.14,330.66,0.59,2577801.2,80.42,True,44.7,2024-12-09,3.59,0,,16.1,27.54,True,False
09-12-2024 09:00,VAKFN,1.79,2.0,1.75,1.96,928358526.0,0.04,0.17,0.03,580.0,0.17,342761431.1,170.85,True,60.57,2024-12-09,10.11,0,,1.39,2.18,False,False
09-12-2024 09:00,PKENT,241.5,258.0,233.0,258.0,1126042.0,0.0,16.5,3.43,381.05,16.5,737233.9,52.74,True,53.4,2024-12-09,6.97,0,,197.1,397.0,True,False
09-12-2024 09:00,SNICA,5.53,6.26,5.48,6.08,161588249.0,0.18,0.55,0.07,708.82,0.55,58849382.8,174.58,True,50.48,2024-12-09,10.95,0,,4.98,11.18,True,True
09-12-2024 09:00,BRKVY,49.46,59.9,47.74,58.2,21464408.0,1.7,8.74,1.28,583.35,8.74,7310082.1,193.63,True,51.1,2024-12-09,18.78,0,,39.54,241.4,True,False
09-12-2024 09:00,SONME,81.0,97.45,79.0,97.45,896664.0,0.0,16.45,2.16,661.57,16.45,426747.3,110.12,True,63.27,2024-12-09,19.57,0,,67.45,122.7,False,False
09-12-2024 09:00,SEGMN,19.74,22.44,19.2,22.32,27643885.0,0.12,2.58,0.44,489.04,2.58,11894892.1,132.4,True,54.77,2024-12-09,13.88,0,,16.18,ATH,False,False
09-12-2024 09:00,COSMO,113.3,138.0,112.3,136.2,3267165.0,1.8,22.9,2.94,678.91,22.9,1099863.0,197.05,True,60.72,2024-12-09,21.28,0,,95.1,141.2,False,False
09-12-2024 09:00,GWIND,27.48,30.36,27.46,30.28,27115597.0,0.08,2.8,0.58,386.11,2.8,15041069.2,80.28,True,60.53,2024-12-09,10.51,0,,22.48,34.4,False,False
09-12-2024 09:00,BEGYO,4.39,5.59,4.36,5.51,382868469.0,0.08,1.12,0.21,435.89,1.12,130699631.5,192.94,True,73.58,2024-12-09,25.51,0,,3.07,6.69,False,False
09-12-2024 09:00,INFO,2.47,2.71,2.41,2.7,62505895.0,0.01,0.23,0.06,285.91,0.23,41082155.89,52.15,True,65.7,2024-12-09,9.31,0,,2.3,3.1,True,False
09-12-2024 09:00,ACSEL,113.6,138.0,112.5,133.0,3875141.0,5.0,19.4,2.21,777.83,19.4,968099.6,300.28,True,57.81,2024-12-09,17.08,0,,100.0,195.6,True,False
09-12-2024 09:00,TMPOL,72.0,79.2,68.3,79.2,2188096.0,0.0,7.2,1.52,372.13,7.2,977389.7,123.87,True,57.56,2024-12-09,11.16,0,,59.55,141.2,True,False
09-12-2024 09:00,KRTEK,28.9,36.38,28.18,36.0,17594006.0,0.38,7.1,0.52,1275.97,7.1,5336192.3,229.71,True,66.21,2024-12-09,24.57,0,,23.74,42.98,False,False
02-12-2024 09:00,BMSCH,36.78,44.96,36.78,43.5,14620744.0,1.46,6.72,2.06,226.53,6.72,7384155.0,98.0,True,82.9,2024-12-02,18.27,0,,19.4,ATH,False,False
02-12-2024 09:00,BYDNR,22.04,24.2,21.78,23.88,7277682.0,0.32,1.84,0.11,1514.04,1.84,3114202.0,133.69,True,51.1,2024-12-02,8.35,0,,20.46,31.96,True,True
