Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc
05-02-2024 13:00,ZRGYO,6.98,7.13,6.93,7.09,1543811.0,0.04,0.11,0.02,587.5,0.11,679671.6,127.14,True,0,,6.83,7.2
05-02-2024 13:00,BORLS,41.56,43.32,41.42,42.84,2333644.0,0.48,1.28,0.15,764.86,1.28,702012.5,232.42,True,0,,40.54,ATH
05-02-2024 13:00,FADE,18.58,18.8,18.5,18.74,498112.0,0.06,0.16,0.03,384.85,0.16,313776.8,58.75,True,0,,18.2,18.95
05-02-2024 13:00,BNTAS,8.27,8.42,8.26,8.41,1134035.0,0.01,0.14,0.01,900.0,0.14,406731.1,178.82,True,0,,7.85,ATH
05-02-2024 13:00,PLTUR,17.07,17.35,17.05,17.3,618573.0,0.05,0.23,0.02,1337.5,0.23,323323.9,91.32,True,0,,17.02,17.75
05-02-2024 13:00,DGNMO,10.71,10.94,10.7,10.88,875264.0,0.06,0.17,0.02,639.13,0.17,465352.1,88.09,True,0,,10.36,ATH
05-02-2024 13:00,AEFES,149.8,151.0,149.3,150.7,511787.0,0.3,0.9,0.11,718.18,0.9,251726.4,103.31,True,0,,137.6,152.5
05-02-2024 12:00,SDTTR,376.75,395.5,374.75,395.0,607006.0,0.5,18.25,2.33,684.95,18.25,122502.7,395.5,True,0,,372.25,402.0
05-02-2024 12:00,DZGYO,5.84,6.12,5.82,6.12,3495231.0,0.0,0.28,0.02,1172.73,0.28,772286.9,352.58,True,0,,4.8,ATH
05-02-2024 12:00,ANELE,13.68,14.2,13.67,14.16,620210.0,0.04,0.48,0.03,1448.39,0.48,215594.2,187.67,True,0,,13.44,ATH
05-02-2024 12:00,PEKGY,34.3,35.1,34.26,35.02,676928.0,0.08,0.72,0.07,958.82,0.72,285759.9,136.89,True,0,,33.36,36.06
05-02-2024 12:00,CONSE,6.63,6.8,6.59,6.77,3040575.0,0.03,0.14,0.04,241.46,0.14,1475338.7,106.09,True,0,,5.99,ATH
05-02-2024 12:00,GEDZA,22.7,23.14,22.62,23.12,197470.0,0.02,0.42,0.01,2900.0,0.42,118215.9,67.04,True,0,,21.74,23.36
05-02-2024 12:00,ONCSM,216.6,234.3,215.6,232.8,443676.0,1.5,16.2,1.76,820.45,16.2,83372.0,432.16,True,0,,193.5,232.9
05-02-2024 12:00,NIBAS,19.09,19.3,19.02,19.3,397207.0,0.0,0.21,0.04,500.0,0.21,167094.6,137.71,True,0,,18.39,19.35
05-02-2024 12:00,ANSGR,71.45,72.5,71.3,72.4,379121.0,0.1,0.95,0.14,578.57,0.95,250575.8,51.3,True,0,,70.05,72.55
