Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
06-12-2024 16:00,FADE,16.0,16.38,16.0,16.35,919004.0,0.03,0.35,0.05,573.08,0.35,297685.5,208.72,True,76.01,0,,15.57,ATH,False,False
06-12-2024 16:00,KORDS,73.5,74.5,73.4,74.4,241979.0,0.1,0.9,0.1,847.37,0.9,108181.1,123.68,True,66.7,0,,72.8,ATH,False,False
06-12-2024 16:00,AVOD,2.98,3.03,2.98,3.02,1351278.0,0.01,0.04,0.01,300.0,0.04,479612.9,181.74,True,64.0,0,,2.92,3.14,False,False
06-12-2024 16:00,NTGAZ,6.25,6.41,6.22,6.38,1147009.0,0.03,0.13,0.0,6400.0,0.13,506814.8,126.32,True,64.92,0,,6.14,6.46,False,False
06-12-2024 16:00,SAYAS,44.32,45.28,44.3,45.24,660601.0,0.04,0.92,0.16,460.98,0.92,263419.1,150.78,True,84.28,0,,42.92,ATH,False,False
06-12-2024 16:00,TURSG,13.92,14.17,13.91,14.15,9524644.0,0.02,0.23,0.02,1110.53,0.23,4800875.9,98.39,True,72.84,0,,12.87,ATH,False,False
06-12-2024 16:00,ORCAY,10.02,10.39,9.99,10.38,2039696.0,0.01,0.36,0.07,437.31,0.36,656337.1,210.77,True,85.32,0,,9.14,ATH,False,False
06-12-2024 16:00,ANSGR,99.1,103.0,99.0,102.0,865884.0,1.0,2.9,0.34,740.58,2.9,378624.9,128.69,True,77.99,0,,91.4,ATH,False,False
06-12-2024 16:00,EKOS,25.4,25.96,25.38,25.96,1656831.0,0.0,0.56,0.09,495.74,0.56,381123.4,334.72,True,74.44,0,,24.88,26.82,False,False
06-12-2024 16:00,ALFAS,51.05,51.4,51.05,51.35,349103.0,0.05,0.3,0.05,500.0,0.3,192005.0,81.82,True,64.96,0,,50.3,ATH,False,False
06-12-2024 16:00,ISSEN,9.47,9.55,9.45,9.54,357005.0,0.01,0.07,0.02,288.89,0.07,199182.4,79.24,True,72.7,0,,8.96,ATH,False,False
06-12-2024 16:00,CEMTS,9.1,9.16,9.09,9.16,650212.0,0.0,0.06,0.0,1400.0,0.06,305277.0,112.99,True,66.23,0,,8.63,9.19,False,False
06-12-2024 16:00,ISMEN,42.94,43.52,42.92,43.48,1123538.0,0.04,0.54,0.07,694.12,0.54,690177.5,62.79,True,75.6,0,,41.1,ATH,False,False
06-12-2024 16:00,IEYHO,11.02,11.53,11.02,11.52,6853168.0,0.01,0.5,0.04,1119.51,0.5,1579940.0,333.76,True,66.89,0,,10.75,12.26,False,False
06-12-2024 16:00,PETUN,10.94,11.15,10.93,11.12,835894.0,0.03,0.18,0.0,17900.0,0.18,239960.7,248.35,True,65.12,0,,10.68,11.14,False,False
06-12-2024 16:00,GOODY,16.5,16.86,16.47,16.79,817225.0,0.07,0.29,0.04,705.56,0.29,234675.1,248.24,True,71.21,0,,15.37,ATH,False,False
06-12-2024 16:00,ARDYZ,38.02,38.9,38.0,38.72,575192.0,0.18,0.7,0.04,1742.11,0.7,227557.0,152.77,True,66.38,0,,36.42,40.1,False,False
06-12-2024 15:00,SKTAS,4.85,4.94,4.83,4.94,2392839.0,0.0,0.09,0.02,291.3,0.09,802420.5,198.2,True,80.78,0,,4.51,ATH,False,False
06-12-2024 15:00,RUBNS,30.02,31.86,29.94,31.38,993890.0,0.48,1.36,0.07,1960.61,1.36,184229.1,439.49,True,64.57,0,,29.7,ATH,False,False
06-12-2024 15:00,KARYE,27.66,28.14,27.66,28.04,1229601.0,0.1,0.38,0.07,413.51,0.38,376082.0,226.95,True,76.34,0,,26.9,28.14,False,False
06-12-2024 15:00,ENSRI,20.0,21.2,19.96,21.04,2660992.0,0.16,1.04,0.09,994.74,1.04,529718.1,402.34,True,67.5,0,,17.51,22.12,False,False
06-12-2024 15:00,HATSN,47.74,49.56,47.66,49.06,1016625.0,0.5,1.32,0.14,829.58,1.32,175718.6,478.55,True,73.9,0,,47.0,ATH,False,False
06-12-2024 15:00,SAHOL,95.05,96.4,95.0,96.15,3932761.0,0.25,1.1,0.07,1471.43,1.1,2063679.5,90.57,True,67.21,0,,93.1,ATH,False,False
06-12-2024 15:00,AKGRT,7.14,7.31,7.07,7.3,5187897.0,0.01,0.16,0.02,566.67,0.16,2824831.1,83.65,True,74.82,0,,6.51,ATH,False,False
06-12-2024 15:00,GSDHO,3.94,3.97,3.93,3.97,3537761.0,0.0,0.03,0.0,1400.0,0.03,1637929.9,115.99,True,56.81,0,,3.91,3.99,False,False
06-12-2024 14:00,NTHOL,47.82,49.54,47.8,49.4,1131454.0,0.14,1.58,0.3,423.18,1.58,403584.3,180.35,True,86.11,0,,45.8,ATH,False,False
06-12-2024 14:00,BIOEN,16.95,17.21,16.95,17.17,631768.0,0.04,0.22,0.02,816.67,0.22,198331.3,218.54,True,75.57,0,,16.62,17.36,False,False
06-12-2024 14:00,FONET,17.34,17.74,17.34,17.74,1543927.0,0.0,0.4,0.04,925.64,0.4,568837.8,171.42,True,73.75,0,,17.03,17.88,False,False
06-12-2024 14:00,HOROZ,61.6,63.5,61.3,63.05,610328.0,0.45,1.45,0.06,2316.67,1.45,338994.6,80.04,True,52.12,0,,57.4,67.8,False,False
06-12-2024 14:00,USAK,11.39,12.3,11.36,12.05,10820033.0,0.25,0.66,0.08,714.81,0.66,2017741.0,436.24,True,86.6,0,,11.01,ATH,False,False
06-12-2024 14:00,ULUFA,16.02,16.44,16.0,16.38,816626.0,0.06,0.36,0.05,634.69,0.36,432318.8,88.89,True,77.81,0,,14.75,ATH,False,False
06-12-2024 14:00,TEKTU,4.71,4.75,4.71,4.74,2474533.0,0.01,0.03,0.01,275.0,0.03,1082296.0,128.64,True,62.06,0,,4.59,4.84,False,False
06-12-2024 14:00,HUNER,3.28,3.46,3.27,3.45,17841894.0,0.01,0.17,0.01,1207.69,0.17,2653293.1,572.44,True,77.8,0,,3.22,3.49,True,False
06-12-2024 13:00,TCKRC,28.56,29.52,28.5,29.52,1559520.0,0.0,0.96,0.13,650.0,0.96,683881.3,128.04,True,65.03,0,,27.58,31.28,True,False
06-12-2024 13:00,CATES,37.02,38.14,37.0,37.9,769629.0,0.24,0.88,0.1,816.67,0.88,193367.6,298.01,True,84.05,0,,35.9,38.7,False,False
06-12-2024 13:00,YYLGD,10.66,10.95,10.66,10.88,2539439.0,0.07,0.22,0.03,609.68,0.22,771922.5,228.98,True,69.87,0,,10.37,10.89,False,False
06-12-2024 13:00,OBAMS,46.58,47.3,46.56,47.12,898170.0,0.18,0.54,0.03,1587.5,0.54,584610.4,53.64,True,70.44,0,,46.04,47.72,False,False
06-12-2024 13:00,TUKAS,7.12,7.28,7.12,7.25,5356002.0,0.03,0.13,0.02,441.67,0.13,2030746.5,163.75,True,83.23,0,,6.86,ATH,False,False
06-12-2024 13:00,OYLUM,8.45,8.7,8.44,8.66,536194.0,0.04,0.21,0.01,1515.38,0.21,205163.0,161.35,True,67.75,0,,8.3,8.87,False,False
06-12-2024 13:00,PEKGY,6.35,6.61,6.33,6.61,36824317.0,0.0,0.26,0.08,225.0,0.26,17046770.4,116.02,True,83.47,0,,5.4,ATH,False,False
06-12-2024 12:00,PENGD,7.24,7.36,7.24,7.33,753655.0,0.03,0.09,0.0,2900.0,0.09,458056.9,64.53,True,64.16,0,,6.87,7.39,False,False
06-12-2024 12:00,IHGZT,1.7,1.81,1.68,1.79,6098722.0,0.02,0.09,0.02,429.41,0.09,3866159.7,57.75,True,54.36,0,,1.49,2.23,False,False
06-12-2024 12:00,ELITE,39.26,39.72,39.14,39.72,722406.0,0.0,0.46,0.11,325.93,0.46,416528.2,73.44,True,78.8,0,,37.66,ATH,False,False
06-12-2024 12:00,DURKN,14.93,15.39,14.87,15.34,2322404.0,0.05,0.41,0.09,371.26,0.41,865337.3,168.38,True,72.12,0,,14.16,15.55,False,False
06-12-2024 12:00,ENTRA,8.15,8.28,8.13,8.27,12679495.0,0.01,0.12,0.01,700.0,0.12,4300879.1,194.81,True,83.61,0,,7.91,ATH,False,False
06-12-2024 11:00,DMSAS,6.41,6.52,6.4,6.5,904946.0,0.02,0.09,0.01,500.0,0.09,250380.1,261.43,True,67.35,0,,6.27,ATH,False,False
06-12-2024 11:00,IZENR,4.83,4.87,4.83,4.86,1665084.0,0.01,0.03,0.0,650.0,0.03,799149.5,108.36,True,60.02,0,,4.77,4.87,False,False
06-12-2024 11:00,KOTON,19.87,20.06,19.85,20.02,855857.0,0.04,0.15,0.02,689.47,0.15,428852.9,99.57,True,69.99,0,,19.49,20.1,False,False
06-12-2024 11:00,TEZOL,17.5,17.9,17.4,17.81,2222238.0,0.09,0.31,0.05,484.91,0.31,490551.0,353.01,True,80.76,0,,17.05,ATH,False,False
06-12-2024 11:00,MAVI,87.5,89.35,87.3,88.95,1322751.0,0.4,1.45,0.2,625.0,1.45,712471.1,85.66,True,81.51,0,,82.25,ATH,False,False
06-12-2024 11:00,ZEDUR,8.33,8.48,8.16,8.46,706347.0,0.02,0.13,0.02,712.5,0.13,213107.0,231.45,True,76.91,0,,8.14,ATH,False,False
06-12-2024 11:00,TUCLK,10.4,10.62,10.4,10.59,1415509.0,0.03,0.19,0.01,2011.11,0.19,503741.4,181.0,True,70.8,0,,10.3,10.77,False,False
06-12-2024 11:00,AEFES,218.2,224.8,217.7,223.3,1726441.0,1.5,5.1,0.55,827.27,5.1,501129.3,244.51,True,82.98,0,,203.2,ATH,False,False
06-12-2024 11:00,BIMAS,509.5,519.0,509.0,516.5,1003798.0,2.5,7.0,0.4,1650.0,7.0,369839.1,171.41,True,66.88,0,,503.5,ATH,False,False
06-12-2024 11:00,ASELS,70.9,71.45,70.9,71.45,5436561.0,0.0,0.55,0.05,1122.22,0.55,2834693.6,91.79,True,63.78,0,,70.05,71.8,False,False
06-12-2024 11:00,KOCMT,17.17,17.53,17.08,17.5,2509892.0,0.03,0.33,0.06,407.69,0.33,1260874.0,99.06,True,90.12,0,,15.93,ATH,False,False
06-12-2024 11:00,BEGYO,4.4,4.47,4.39,4.46,7882714.0,0.01,0.06,0.01,650.0,0.06,3697116.7,113.21,True,80.41,0,,3.91,ATH,False,False
06-12-2024 11:00,IZMDC,5.41,5.61,5.41,5.61,7910412.0,0.0,0.2,0.02,952.63,0.2,1225941.6,545.25,True,82.05,0,,5.31,ATH,False,False
06-12-2024 10:00,INVEO,7.66,8.26,7.66,8.18,3666809.0,0.08,0.52,0.05,881.13,0.52,517537.4,608.51,True,79.36,0,,7.54,ATH,False,False
06-12-2024 10:00,TABGD,149.9,152.5,149.5,152.2,401950.0,0.3,2.3,0.24,858.33,2.3,121810.9,229.98,True,80.61,0,,145.4,ATH,False,False
06-12-2024 10:00,DCTTR,30.36,31.82,29.96,31.48,1217019.0,0.34,1.12,0.13,788.89,1.12,337024.7,261.11,True,77.61,0,,27.84,ATH,False,False
06-12-2024 10:00,SANFM,40.6,41.44,40.58,41.3,284696.0,0.14,0.7,0.08,753.66,0.7,108847.1,161.56,True,83.63,0,,38.36,ATH,False,False
06-12-2024 10:00,ODINE,104.8,111.7,104.5,110.2,1702099.0,1.5,5.4,0.03,17900.0,5.4,358185.3,375.2,True,54.01,0,,107.2,113.4,True,True
06-12-2024 10:00,KLKIM,30.54,31.38,30.24,31.26,2607327.0,0.12,0.72,0.09,737.21,0.72,615754.1,323.44,True,73.03,0,,29.8,ATH,False,False
06-12-2024 10:00,EUREN,4.27,4.63,4.24,4.59,16083484.0,0.04,0.32,0.05,595.65,0.32,3333798.6,382.44,True,90.37,0,,1.47,ATH,False,False
06-12-2024 10:00,VRGYO,2.95,3.03,2.91,3.01,20625453.0,0.02,0.06,0.0,1100.0,0.06,5341221.4,286.16,True,68.7,0,,2.59,ATH,False,False
06-12-2024 10:00,ARASE,54.3,55.5,54.25,55.2,392569.0,0.3,0.9,0.09,847.37,0.9,83141.5,372.17,True,71.15,0,,53.35,56.35,False,False
06-12-2024 10:00,HDFGS,1.65,1.76,1.64,1.73,21979252.0,0.03,0.08,0.01,1500.0,0.08,3114456.3,605.72,True,76.06,0,,1.6,ATH,False,False
06-12-2024 10:00,RODRG,21.06,23.26,21.06,22.8,1998975.0,0.46,1.74,0.18,845.65,1.74,275509.8,625.55,True,83.78,0,,20.6,ATH,False,False
06-12-2024 10:00,GENTS,9.01,9.37,9.0,9.33,399002.0,0.04,0.32,0.05,540.0,0.32,120736.1,230.47,True,71.49,0,,8.74,ATH,False,False
06-12-2024 10:00,GIPTA,32.52,33.58,32.52,33.3,709842.0,0.28,0.78,0.09,729.79,0.78,233126.5,204.49,True,75.7,0,,30.04,ATH,False,False
06-12-2024 10:00,GLYHO,16.6,16.91,16.56,16.86,1373812.0,0.05,0.26,0.04,602.7,0.26,504929.9,172.08,True,75.45,0,,15.58,ATH,False,False
06-12-2024 10:00,DOHOL,14.71,14.91,14.57,14.88,24614277.0,0.03,0.17,0.01,1445.45,0.17,4044094.8,508.65,True,75.75,0,,14.22,ATH,False,False
06-12-2024 10:00,BERA,15.57,15.85,15.56,15.8,2599564.0,0.05,0.23,0.01,1816.67,0.23,747301.2,247.86,True,56.07,0,,15.48,16.42,True,True
06-12-2024 10:00,BOBET,23.06,24.06,23.04,23.92,2779354.0,0.14,0.86,0.16,451.28,0.86,814642.9,241.17,True,75.94,0,,21.72,ATH,False,False
06-12-2024 10:00,GLBMD,14.5,15.44,14.45,15.41,5865271.0,0.03,0.91,0.14,540.85,0.91,1021095.5,474.41,True,84.7,0,,12.15,ATH,False,False
06-12-2024 10:00,GSRAY,6.62,6.79,6.55,6.77,30219859.0,0.02,0.15,0.02,733.33,0.15,5073597.1,495.63,True,40.23,0,,6.55,7.07,False,False
06-12-2024 10:00,KAREL,9.67,9.85,9.56,9.8,3442552.0,0.05,0.13,0.02,550.0,0.13,1033850.6,232.98,True,80.65,0,,9.17,ATH,False,False
05-12-2024 17:00,ESCAR,46.58,47.98,46.58,47.92,260023.0,0.06,1.34,0.1,1188.46,1.34,104416.9,149.02,True,63.98,0,,46.34,ATH,False,False
05-12-2024 17:00,SELEC,83.7,84.95,83.65,84.65,217782.0,0.3,0.95,0.07,1257.14,0.95,97234.7,123.98,True,60.44,0,,82.75,84.7,False,False
05-12-2024 17:00,FZLGY,24.36,24.94,24.32,24.92,1209030.0,0.02,0.56,0.01,6900.0,0.56,635628.1,90.21,True,60.39,0,,24.26,25.16,False,False
05-12-2024 17:00,EFORC,43.6,45.0,43.36,45.0,1731778.0,0.0,1.4,0.4,248.26,1.4,767794.0,125.55,True,85.98,0,,40.62,ATH,False,False
05-12-2024 17:00,EGEPO,23.96,24.52,23.94,24.38,532228.0,0.14,0.42,0.09,346.81,0.42,146405.8,263.53,True,77.14,1,24.52,22.88,24.52,False,False
05-12-2024 17:00,CCOLA,56.25,58.6,56.25,58.35,3665764.0,0.25,2.1,0.1,2000.0,2.1,1047467.0,249.96,True,73.66,0,,56.0,ATH,False,False
05-12-2024 17:00,VAKFN,1.71,1.73,1.71,1.73,10547772.0,0.0,0.02,0.0,566.67,0.02,5283448.4,99.64,True,53.5,0,,1.69,1.8,False,False
05-12-2024 17:00,YUNSA,6.53,6.64,6.52,6.61,1172056.0,0.03,0.08,0.01,900.0,0.08,612629.0,91.32,True,60.04,0,,6.49,6.66,False,False
05-12-2024 17:00,KIMMR,10.38,10.55,10.37,10.54,603572.0,0.01,0.16,0.02,788.89,0.16,228007.5,164.72,True,57.77,0,,10.31,10.85,False,False
05-12-2024 17:00,CIMSA,40.9,41.46,40.86,41.32,3509574.0,0.14,0.42,0.09,346.81,0.42,1494222.2,134.88,True,64.94,0,,40.0,41.46,False,False
05-12-2024 17:00,TSPOR,0.95,0.96,0.94,0.96,80567075.0,0.0,0.01,0.0,inf,0.01,27740920.2,190.43,True,61.71,0,,0.93,0.99,False,False
05-12-2024 17:00,ALARK,98.8,101.0,98.4,100.5,1014628.0,0.5,1.7,0.21,690.7,1.7,327924.1,209.41,True,67.86,0,,97.95,ATH,False,False
05-12-2024 17:00,BUCIM,8.02,8.11,8.02,8.1,1378034.0,0.01,0.08,0.01,515.38,0.08,757664.2,81.88,True,71.37,0,,7.88,ATH,False,False
05-12-2024 17:00,YESIL,2.27,2.4,2.22,2.4,56072247.0,0.0,0.13,0.02,584.21,0.13,35314440.4,58.78,True,59.09,0,,2.13,2.54,False,False
05-12-2024 16:00,ARENA,27.06,27.14,26.88,27.12,149978.0,0.02,0.06,0.01,500.0,0.06,85634.6,75.14,True,61.57,2,26.88,26.88,27.42,False,False
05-12-2024 16:00,ENJSA,62.3,62.85,62.25,62.75,360840.0,0.1,0.45,0.03,1400.0,0.45,203071.7,77.69,True,57.24,0,,62.0,63.55,False,False
05-12-2024 16:00,BINBN,115.4,124.9,115.4,122.4,694790.0,2.5,7.0,0.92,660.87,7.0,357148.0,94.54,True,77.25,0,,103.5,ATH,False,False
05-12-2024 16:00,KATMR,2.15,2.16,2.15,2.16,11295826.0,0.0,0.01,0.0,900.0,0.01,4611363.1,144.96,True,57.57,0,,2.13,2.17,False,False
05-12-2024 16:00,GEREL,9.18,9.65,9.13,9.58,5457505.0,0.07,0.4,0.06,627.27,0.4,1237347.5,341.06,True,78.29,0,,8.95,ATH,False,False
05-12-2024 16:00,SNICA,5.45,5.5,5.41,5.49,3099386.0,0.01,0.04,0.0,700.0,0.04,1355971.6,128.57,True,65.94,2,5.41,5.41,ATH,False,False
