Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
23-09-2024 11:00,KNFRT,10.79,10.97,10.79,10.96,314108.0,0.01,0.17,0.01,2025.0,0.17,147318.1,113.22,True,0,,10.32,11.19,True,True
23-09-2024 11:00,ORCAY,10.04,10.12,10.02,10.12,327683.0,0.0,0.08,0.0,3900.0,0.08,141018.1,132.37,True,0,,9.97,10.63,False,False
23-09-2024 11:00,ARASE,56.2,60.35,55.9,59.2,1382665.0,1.15,3.0,0.22,1263.64,3.0,289062.7,378.33,True,0,,50.3,ATH,False,False
23-09-2024 11:00,GSRAY,7.54,7.85,7.53,7.78,21400266.0,0.07,0.24,0.01,2081.82,0.24,6503592.9,229.05,True,0,,7.15,ATH,False,False
23-09-2024 11:00,ALKLC,31.82,32.94,31.8,32.94,1068822.0,0.0,1.12,0.19,489.47,1.12,512604.0,108.51,True,0,,30.3,34.1,False,False
23-09-2024 11:00,ARZUM,51.65,52.5,51.3,52.5,305264.0,0.0,0.85,0.23,269.57,0.85,165659.0,84.27,True,0,,50.5,53.15,False,False
23-09-2024 11:00,ICBCT,13.51,13.85,13.46,13.8,394241.0,0.05,0.29,0.01,3525.0,0.29,138650.0,184.34,True,0,,13.01,14.3,False,False
23-09-2024 11:00,OFSYM,38.8,39.08,38.72,39.06,75897.0,0.02,0.26,0.04,490.91,0.26,41450.2,83.1,True,0,,38.0,39.34,True,False
23-09-2024 11:00,VAKFN,1.68,1.78,1.67,1.77,32894770.0,0.01,0.09,0.01,542.86,0.09,7380105.8,345.72,True,0,,1.61,ATH,False,False
23-09-2024 11:00,DOHOL,15.03,15.31,15.01,15.24,4661258.0,0.07,0.21,0.01,2000.0,0.21,1590481.8,193.07,True,0,,14.86,ATH,False,False
23-09-2024 11:00,EGEPO,21.4,22.64,21.38,22.38,1818072.0,0.26,0.98,0.23,329.82,0.98,266571.7,582.02,True,0,,20.08,ATH,False,False
23-09-2024 11:00,LIDFA,3.14,3.2,3.13,3.2,1200377.0,0.0,0.06,0.01,400.0,0.06,571305.4,110.11,True,0,,2.93,ATH,False,False
23-09-2024 11:00,HATEK,12.84,13.13,12.83,13.06,1083710.0,0.07,0.22,0.03,547.06,0.22,300458.0,260.69,True,0,,12.55,13.2,False,False
23-09-2024 10:00,METRO,2.58,2.62,2.58,2.61,1654936.0,0.01,0.03,0.0,1400.0,0.03,481647.5,243.6,True,0,,2.56,2.63,False,False
23-09-2024 10:00,SMART,30.24,31.48,30.04,31.16,992948.0,0.32,0.92,0.09,922.22,0.92,194326.6,410.97,True,0,,30.66,35.02,True,True
23-09-2024 10:00,MEPET,9.57,10.05,9.57,10.0,668521.0,0.05,0.43,0.04,923.81,0.43,116118.8,475.72,True,0,,9.4,10.26,False,False
23-09-2024 10:00,SEGYO,5.09,5.21,5.02,5.19,3067723.0,0.02,0.1,0.01,1150.0,0.1,754182.9,306.76,True,0,,4.99,ATH,False,False
23-09-2024 10:00,BRKVY,48.4,50.0,48.4,49.76,408013.0,0.24,1.36,0.08,1643.59,1.36,81348.1,401.56,True,0,,48.2,49.94,False,False
23-09-2024 10:00,MARBL,12.78,12.95,12.75,12.95,406587.0,0.0,0.17,0.03,486.21,0.17,176570.8,130.27,True,0,,12.52,13.2,False,False
23-09-2024 10:00,SEKUR,11.24,11.52,11.12,11.52,302734.0,0.0,0.28,0.02,1650.0,0.28,149008.1,103.17,True,0,,11.05,11.97,False,False
23-09-2024 10:00,ETILR,37.5,40.02,37.5,40.0,1074225.0,0.02,2.5,0.65,287.0,2.5,281211.9,282.0,True,0,,31.8,ATH,False,False
23-09-2024 10:00,DGATE,44.3,47.86,44.06,47.0,1384584.0,0.86,2.7,0.36,645.86,2.7,174939.4,691.46,True,0,,42.28,48.08,False,False
23-09-2024 10:00,SURGY,72.8,73.45,72.8,73.3,485574.0,0.15,0.5,0.08,525.0,0.5,274521.6,76.88,True,0,,59.55,ATH,False,False
23-09-2024 10:00,SUNTK,18.1,18.52,18.1,18.42,156463.0,0.1,0.32,0.02,1180.0,0.32,75449.2,107.38,True,0,,18.06,18.78,False,False
23-09-2024 10:00,TRCAS,24.48,25.22,24.34,25.22,780457.0,0.0,0.74,0.17,335.29,0.74,247078.5,215.87,True,0,,22.96,ATH,False,False
23-09-2024 10:00,GOZDE,30.3,31.22,30.3,31.04,1254973.0,0.18,0.74,0.22,233.33,0.74,414762.5,202.58,True,0,,28.76,ATH,False,False
23-09-2024 10:00,ELITE,34.22,36.62,33.82,35.94,2155991.0,0.68,1.72,0.06,2971.43,1.72,490868.0,339.22,True,0,,31.52,36.42,False,False
