Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
24-06-2024 13:00,BERA,18.45,18.96,18.43,18.93,4907506.0,0.03,0.48,0.05,841.18,0.48,1947608.6,151.98,True,0,,16.4,ATH,False
24-06-2024 13:00,OYLUM,10.35,10.65,10.35,10.63,1379500.0,0.02,0.28,0.06,409.09,0.28,852465.4,61.82,True,0,,9.97,11.02,True
24-06-2024 12:00,FROTO,1079.0,1095.0,1078.0,1094.0,191160.0,1.0,15.0,0.8,1775.0,15.0,94897.3,101.44,True,0,,1055.0,1099.0,False
24-06-2024 12:00,KLSYN,5.35,5.42,5.35,5.42,339466.0,0.0,0.07,0.01,483.33,0.07,205548.8,65.15,True,0,,5.2,5.43,False
24-06-2024 12:00,MARBL,15.06,15.45,15.02,15.39,449830.0,0.06,0.33,0.03,1037.93,0.33,273152.2,64.68,True,0,,13.79,ATH,False
24-06-2024 12:00,TUPRS,170.3,171.6,170.2,171.5,2725482.0,0.1,1.2,0.0,4.2221246506597896e+16,1.2,1754843.4,55.31,True,0,,166.1,172.6,False
24-06-2024 12:00,TOASO,324.0,338.75,323.75,335.5,1935220.0,3.25,11.5,1.45,693.1,11.5,485845.8,298.32,True,0,,290.25,ATH,False
24-06-2024 11:00,KOPOL,38.54,38.98,38.4,38.94,171991.0,0.04,0.4,0.01,3900.0,0.4,113025.5,52.17,True,0,,36.94,39.22,False
24-06-2024 11:00,MANAS,11.83,12.18,11.77,12.16,1417806.0,0.02,0.33,0.05,633.33,0.33,433143.7,227.33,True,0,,11.54,12.22,False
24-06-2024 11:00,MERCN,11.54,11.86,11.48,11.79,928561.0,0.07,0.25,0.04,525.0,0.25,255189.5,263.87,True,0,,11.09,12.3,False
24-06-2024 10:00,GARAN,112.0,114.2,111.6,113.6,4451854.0,0.6,1.6,0.25,540.0,1.6,2081128.9,113.92,True,0,,102.2,ATH,False
24-06-2024 10:00,EDIP,26.24,27.28,25.52,27.12,981834.0,0.16,0.88,0.12,645.76,0.88,281425.4,248.88,True,0,,23.18,27.48,False
24-06-2024 10:00,AVOD,3.47,3.52,3.46,3.51,2304949.0,0.01,0.04,0.0,1233.33,0.04,994548.0,131.76,True,0,,3.34,3.53,False
24-06-2024 10:00,PLTUR,16.27,17.4,16.25,17.3,1190207.0,0.1,1.03,0.09,1070.45,1.03,251256.6,373.7,True,0,,15.6,17.58,False
24-06-2024 10:00,HUBVC,11.29,11.66,11.13,11.64,468354.0,0.02,0.35,0.03,1150.0,0.35,118439.1,295.44,True,0,,10.05,ATH,False
24-06-2024 10:00,NATEN,49.12,50.45,47.36,50.45,2290161.0,0.0,1.33,0.21,542.51,1.33,482413.1,374.73,True,0,,41.14,ATH,False
24-06-2024 10:00,MIATK,62.0,66.0,60.8,65.8,14621568.0,0.2,3.8,0.74,413.51,3.8,3157824.3,363.03,True,0,,52.3,ATH,False
24-06-2024 10:00,IPEKE,39.64,40.22,39.44,40.16,1318854.0,0.06,0.52,0.1,400.0,0.52,498088.6,164.78,True,0,,38.12,ATH,False
