Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
27-12-2024 11:00,PRKME,20.18,21.46,20.12,21.2,1495809.0,0.26,1.02,0.1,940.82,1.02,417682.4,258.12,True,66.99,2024-12-27,20.12,5.37,0,,17.96,21.94,False,False
27-12-2024 11:00,ANSGR,100.6,101.4,100.3,101.4,156823.0,0.0,0.8,0.03,2566.67,0.8,94168.2,66.53,True,50.81,2024-12-27,100.8,0.6,0,,98.0,104.0,False,False
27-12-2024 11:00,PCILT,17.31,18.26,17.31,18.15,1394666.0,0.11,0.84,0.11,636.84,0.84,267447.2,421.47,True,86.02,2024-12-27,17.19,5.58,0,,16.99,ATH,False,False
27-12-2024 10:00,BRKVY,49.64,50.0,49.62,49.96,117335.0,0.04,0.32,0.03,841.18,0.32,44305.9,164.83,True,60.29,2024-12-27,49.62,0.69,0,,49.2,54.55,False,False
27-12-2024 10:00,KTLEV,53.25,56.5,52.5,56.35,4779708.0,0.15,3.1,0.29,950.85,3.1,844902.5,465.71,True,69.95,2024-12-27,52.75,6.82,0,,52.85,57.35,True,True
27-12-2024 10:00,AYDEM,23.82,23.98,23.82,23.94,337354.0,0.04,0.12,0.0,2900.0,0.12,198122.5,70.28,True,64.46,2024-12-27,23.78,0.67,0,,23.66,ATH,False,False
27-12-2024 10:00,PNLSN,48.2,50.6,48.02,50.1,704046.0,0.5,1.9,0.06,2964.52,1.9,168798.4,317.09,True,61.25,2024-12-27,48.3,3.73,0,,42.18,50.65,False,False
27-12-2024 10:00,PATEK,91.05,92.45,90.8,92.15,427255.0,0.3,1.1,0.13,780.0,1.1,238786.9,78.93,True,64.46,2024-12-27,90.8,1.49,0,,89.4,93.2,False,False
27-12-2024 10:00,OYAKC,24.08,24.78,24.0,24.62,10969580.0,0.16,0.54,0.12,342.62,0.54,4311651.4,154.42,True,69.28,2024-12-27,23.96,2.75,0,,23.0,24.88,False,False
27-12-2024 10:00,BUCIM,8.4,8.48,8.38,8.47,1050391.0,0.01,0.07,0.0,3400.0,0.07,415469.0,152.82,True,66.03,2024-12-27,8.4,0.83,0,,8.08,ATH,False,False
