datetime,symbol,open,high,low,close,volume,Hisse,Tarih,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Macd,ADX_14,DMP_14,DMN_14,rsi,sma14,Rsi/Sma,TK,KJ,SPA,SPB,CS,PP,R1,S1,R2,S2,VolMov,%Deg,%Vol,Vol,FISHERT_9_1,FISHERTs_9_1,FSignal,S_Ort5UA,S_Ort8UA,S_Ort13UA,Kes_5_8,Kes_5_13,Kes_5_21,S_OrtKes,S_W_OrtKes,S_TkKjKes,S_OrtUA,S_TKUA,S_SPBUA,S_CSPUA,S_200UA,S_PPUA,S_VolUA,Macd_K,Rsi_K,DI_K,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Rsi,DI,EMA_4,WMA_4,HMA_4,EMA_5,WMA_5,HMA_5,EMA_8,WMA_8,HMA_8,EMA_9,WMA_9,HMA_9,EMA_13,WMA_13,HMA_13,EMA_15,WMA_15,HMA_15,EMA_21,WMA_21,HMA_21,EMA_34,WMA_34,HMA_34,EMA_55,WMA_55,HMA_55,EMA_89,WMA_89,HMA_89,EMA_100,WMA_100,HMA_100,EMA_4x9,WMA_4x9,HMA_4x9,EMA_5x21,WMA_5x21,HMA_5x21,EMA_9x15,WMA_9x15,HMA_9x15,RSI,position,Entry,Exit,EMA_4x9_Tarih,EMA_4x9_Id,EMA_4x9_Close,EMA_4x9_High,EMA_4x9_Degisim(%),EMA_4x9_EnYuksekDegisim(%),EMA_4x9_kacgunOnce,WMA_4x9_Tarih,WMA_4x9_Id,WMA_4x9_Close,WMA_4x9_High,WMA_4x9_Degisim(%),WMA_4x9_EnYuksekDegisim(%),WMA_4x9_kacgunOnce,HMA_4x9_Tarih,HMA_4x9_Id,HMA_4x9_Close,HMA_4x9_High,HMA_4x9_Degisim(%),HMA_4x9_EnYuksekDegisim(%),HMA_4x9_kacgunOnce,EMA_5x21_Tarih,EMA_5x21_Id,EMA_5x21_Close,EMA_5x21_High,EMA_5x21_Degisim(%),EMA_5x21_EnYuksekDegisim(%),EMA_5x21_kacgunOnce,WMA_5x21_Tarih,WMA_5x21_Id,WMA_5x21_Close,WMA_5x21_High,WMA_5x21_Degisim(%),WMA_5x21_EnYuksekDegisim(%),WMA_5x21_kacgunOnce,HMA_5x21_Tarih,HMA_5x21_Id,HMA_5x21_Close,HMA_5x21_High,HMA_5x21_Degisim(%),HMA_5x21_EnYuksekDegisim(%),HMA_5x21_kacgunOnce,EMA_9x15_Tarih,EMA_9x15_Id,EMA_9x15_Close,EMA_9x15_High,EMA_9x15_Degisim(%),EMA_9x15_EnYuksekDegisim(%),EMA_9x15_kacgunOnce,WMA_9x15_Tarih,WMA_9x15_Id,WMA_9x15_Close,WMA_9x15_High,WMA_9x15_Degisim(%),WMA_9x15_EnYuksekDegisim(%),WMA_9x15_kacgunOnce,HMA_9x15_Tarih,HMA_9x15_Id,HMA_9x15_Close,HMA_9x15_High,HMA_9x15_Degisim(%),HMA_9x15_EnYuksekDegisim(%),HMA_9x15_kacgunOnce,A,S,Ort_Sira,Ort_Destek_Direnc,rsi_uyumsuzluk
2024-05-08 09:00:00,BIST:ERSU,34.2,39.38,33.92,34.64,7167297.0,ERSU,08-05-2024,39.83,41.45,42.48,42.37,38.94,41.77,41.86,42.98,22.95,0.52,-1.56,2.09,,20.55,19.69,32.17,38.6,54.01,-,42.46,42.96,31.36,26.91,45.56,35.98,38.04,32.58,41.44,30.52,3267471.0,-8.07,1876.57,+,-1.04,-0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,-_06-05-2024 09:00:00,-_07-05-2024 09:00:00,,,,,,-,,,,,,,38.94,38.18,34.27,39.83,39.27,33.33,41.45,41.39,36.49,41.77,41.86,37.6,42.48,42.81,40.01,42.59,42.98,41.07,42.37,43.44,43.31,40.73,43.52,44.66,37.38,40.33,49.13,32.47,36.7,46.9,31.12,35.25,46.58,,,,,,,,,,38.6,-1,False,True,-_06-05-2024 09:00,297,41.86,45.46,-17.25,8.6,2,-_06-05-2024 09:00,297,41.86,45.46,-17.25,8.6,2,-_30-04-2024 09:00,294,45.0,47.8,-23.02,6.22,5,-_07-05-2024 09:00,298,37.68,39.38,-8.07,4.51,1,-_06-05-2024 09:00,297,41.86,45.46,-17.25,8.6,2,-_06-05-2024 09:00,297,41.86,45.46,-17.25,8.6,2,-_07-05-2024 09:00,298,37.68,39.38,-8.07,4.51,1,-_07-05-2024 09:00,298,37.68,39.38,-8.07,4.51,1,-_03-05-2024 09:00,296,46.5,47.44,-25.51,2.02,3,0,1,100_89 < ERSU:34.64 < 55_5_34_8_21_13,31.12_32.47 < ERSU:34.64 < 37.38_39.83_40.73_41.45_42.37_42.48,
2024-05-08 09:00:00,BIST:ESCAR,280.0,295.0,280.0,292.75,120345.0,ESCAR,08-05-2024,284.8,281.95,277.45,269.83,285.93,281.05,283.0,279.76,180.38,13.5,-0.45,13.94,,38.17,29.76,12.93,67.0,66.1,+,282.12,260.25,217.93,197.3,241.3,289.25,298.5,283.5,304.25,274.25,196634.0,3.63,-51.14,-,1.4,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,+_22-02-2024 09:00:00,+_06-02-2024 09:00:00,,,,,,+,,,,,+,,285.93,286.73,288.02,284.8,285.9,288.79,281.95,283.6,288.03,281.05,283.0,287.4,277.45,280.77,286.64,275.6,279.76,286.42,269.83,276.9,285.94,257.05,268.31,287.33,239.33,254.0,288.37,219.52,229.25,290.06,214.65,223.07,285.93,,,+,,,+,,,,67.0,-1,False,True,+_22-02-2024 09:00,250,167.6,295.5,74.67,76.31,49,+_24-04-2024 09:00,290,280.0,295.5,4.55,5.54,9,+_08-05-2024 09:00,299,292.75,295.0,0.0,0.77,0,+_06-02-2024 09:00,238,159.8,295.5,83.2,84.92,61,+_05-02-2024 09:00,237,151.0,295.5,93.87,95.7,62,+_08-05-2024 09:00,299,292.75,295.0,0.0,0.77,0,+_06-02-2024 09:00,238,159.8,295.5,83.2,84.92,61,+_26-02-2024 09:00,252,172.0,295.5,70.2,71.8,47,+_06-05-2024 09:00,297,279.0,295.5,4.93,5.91,2,2,0,100_89_55_34_21_13_8_5 < ESCAR:292.75,214.65_219.52_239.33_257.05_269.83_277.45_281.95_284.8 < ESCAR:292.75,
2024-05-08 09:00:00,BIST:ESCOM,94.5,95.25,88.0,88.2,547208.0,ESCOM,08-05-2024,90.75,89.08,86.41,83.81,91.04,88.49,90.78,87.06,59.24,4.06,1.64,2.43,,29.81,31.6,15.72,57.17,58.12,-,87.12,83.15,84.0,72.78,74.3,90.48,92.97,85.72,97.73,83.23,727116.0,-4.65,-30.33,-,1.83,1.94,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-,-,,,,,,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,,,+,,,-,-,,,91.04,92.16,89.02,90.75,92.63,88.9,89.08,91.53,94.62,88.49,90.78,96.78,86.41,88.07,98.19,85.58,87.06,97.7,83.81,84.7,94.29,81.53,81.29,89.18,78.3,81.15,80.69,72.99,78.75,81.23,71.39,76.84,84.06,,,,,,-,,,-,57.17,-1,False,True,+_29-04-2024 09:00,293,83.75,101.0,5.31,20.6,6,+_29-04-2024 09:00,293,83.75,101.0,5.31,20.6,6,-_07-05-2024 09:00,298,92.5,99.45,-4.65,7.51,1,+_29-04-2024 09:00,293,83.75,101.0,5.31,20.6,6,+_09-04-2024 09:00,283,78.5,101.0,12.36,28.66,16,-_08-05-2024 09:00,299,88.2,95.25,0.0,7.99,0,+_17-04-2024 09:00,286,78.4,101.0,12.5,28.83,13,+_15-04-2024 09:00,284,79.1,101.0,11.5,27.69,15,-_08-05-2024 09:00,299,88.2,95.25,0.0,7.99,0,1,4,100_89_55_34_21_13 < ESCOM:88.2 < 8_5,71.39_72.99_78.3_81.53_83.81_86.41 < ESCOM:88.2 < 89.08_90.75,
2024-05-08 09:00:00,BIST:ESEN,21.8,22.08,20.76,21.72,1166939.0,ESEN,08-05-2024,21.73,21.58,21.25,20.85,21.75,21.52,21.75,21.55,19.46,0.62,0.16,0.46,,29.73,24.31,13.77,58.64,58.2,+,22.1,20.42,21.51,20.78,20.34,21.52,22.28,20.96,22.84,20.2,3324303.33,-0.37,-65.96,-,0.56,1.2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,-,,,,,,,+_19-04-2024 09:00:00,+_22-04-2024 09:00:00,,,-,,,+,,+,-,,,,21.75,21.8,21.79,21.73,21.77,21.83,21.58,21.73,21.87,21.52,21.75,21.83,21.25,21.69,21.83,21.13,21.55,21.99,20.85,21.08,22.54,20.53,20.43,22.11,20.31,20.36,20.54,20.24,20.17,20.27,20.23,20.01,20.5,,,-,,,,,,,58.64,-1,False,True,+_19-04-2024 09:00,288,19.96,23.6,8.82,18.24,11,+_07-05-2024 09:00,298,21.8,22.7,-0.37,4.13,1,-_08-05-2024 09:00,299,21.72,22.08,0.0,1.66,0,+_22-04-2024 09:00,289,21.94,23.6,-1.0,7.57,10,+_19-04-2024 09:00,288,19.96,23.6,8.82,18.24,11,-_30-04-2024 09:00,294,21.36,22.8,1.69,6.74,5,+_22-04-2024 09:00,289,21.94,23.6,-1.0,7.57,10,+_17-04-2024 09:00,286,18.48,23.6,17.53,27.71,13,-_30-04-2024 09:00,294,21.36,22.8,1.69,6.74,5,2,3,100_89_55_34_21_13_8 < ESEN:21.72 < 5,20.23_20.24_20.31_20.53_20.85_21.25_21.58 < ESEN:21.72 < 21.73,
2024-05-08 09:00:00,BIST:ETILR,26.46,26.82,26.2,26.42,989376.0,ETILR,08-05-2024,26.1,25.3,23.94,22.29,26.3,25.01,25.94,24.63,16.1,2.65,0.56,2.09,,51.18,33.94,12.05,77.26,76.57,+,24.4,21.43,17.03,16.43,15.86,26.48,26.76,26.14,27.1,25.86,2296312.33,0.08,-72.48,-,3.35,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,,,,,,,,+_09-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,,,+,,-,,,,,26.3,26.6,26.28,26.1,26.63,26.31,25.3,26.16,27.24,25.01,25.94,27.65,23.94,25.05,28.01,23.46,24.63,28.0,22.29,23.29,27.75,20.64,21.13,26.3,19.13,19.64,23.05,17.81,18.31,20.82,17.52,17.92,20.51,,,,,,,,,-,77.26,-1,False,True,+_09-04-2024 09:00,283,16.27,28.0,62.38,72.1,16,+_08-04-2024 09:00,282,15.94,28.0,65.75,75.66,17,-_06-05-2024 09:00,297,26.9,28.0,-1.78,4.09,2,+_15-04-2024 09:00,284,17.89,28.0,47.68,56.51,15,+_15-04-2024 09:00,284,17.89,28.0,47.68,56.51,15,-_07-05-2024 09:00,298,26.4,27.5,0.08,4.17,1,+_15-04-2024 09:00,284,17.89,28.0,47.68,56.51,15,+_15-04-2024 09:00,284,17.89,28.0,47.68,56.51,15,-_08-05-2024 09:00,299,26.42,26.82,0.0,1.51,0,1,1,100_89_55_34_21_13_8_5 < ETILR:26.42,17.52_17.81_19.13_20.64_22.29_23.94_25.3_26.1 < ETILR:26.42,
2024-05-08 09:00:00,BIST:ETYAT,16.95,17.14,16.72,16.93,325807.0,ETYAT,08-05-2024,16.67,16.54,16.41,16.24,16.73,16.51,16.56,16.37,11.42,0.31,0.02,0.29,,23.74,24.37,14.31,58.41,53.35,+,16.35,16.78,15.62,13.8,15.34,16.93,17.14,16.72,17.35,16.51,503614.0,0.47,-32.96,-,0.65,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,+_03-05-2024 09:00:00,+_25-04-2024 09:00:00,,,,,,+,,,,,,,16.73,16.81,16.97,16.67,16.75,17.04,16.54,16.59,16.97,16.51,16.56,16.91,16.41,16.42,16.8,16.37,16.37,16.75,16.24,16.38,16.48,15.89,16.21,16.48,15.2,15.95,16.53,14.11,15.1,17.02,13.8,14.74,17.26,,,,,,,,,,58.41,-1,False,True,+_03-05-2024 09:00,296,16.5,17.14,2.61,3.88,3,+_26-04-2024 09:00,292,16.5,17.5,2.61,6.06,7,+_03-05-2024 09:00,296,16.5,17.14,2.61,3.88,3,+_25-04-2024 09:00,291,16.55,17.5,2.3,5.74,8,+_03-05-2024 09:00,296,16.5,17.14,2.61,3.88,3,+_03-05-2024 09:00,296,16.5,17.14,2.61,3.88,3,+_05-02-2024 09:00,237,9.95,19.06,70.15,91.56,62,+_06-05-2024 09:00,297,16.66,17.14,1.62,2.88,2,+_26-04-2024 09:00,292,16.5,17.5,2.61,6.06,7,1,0,100_89_55_34_21_13_8_5 < ETYAT:16.93,13.8_14.11_15.2_15.89_16.24_16.41_16.54_16.67 < ETYAT:16.93,
2024-05-08 09:00:00,BIST:EUHOL,3.25,3.31,3.24,3.31,6047653.0,EUHOL,08-05-2024,3.26,3.25,3.25,3.26,3.26,3.25,3.24,3.24,2.93,-0.02,0.01,-0.03,,13.85,15.12,17.39,51.84,47.96,+,3.25,3.22,3.57,3.44,3.45,3.29,3.33,3.26,3.36,3.22,9945899.67,1.85,-16.35,-,-0.34,-0.5,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,,,,+,+,,+,+_08-05-2024 09:00:00,-_22-03-2024 09:00:00,+,,,,,-,,,,+,,,3.26,3.26,3.3,3.26,3.26,3.31,3.25,3.24,3.27,3.25,3.24,3.25,3.25,3.24,3.23,3.25,3.24,3.23,3.26,3.25,3.23,3.28,3.25,3.23,3.28,3.31,3.16,3.23,3.32,3.28,3.21,3.31,3.32,+,+,,,+,,,+,+,51.84,-1,False,True,+_08-05-2024 09:00,299,3.31,3.31,0.0,0.0,0,+_08-05-2024 09:00,299,3.31,3.31,0.0,0.0,0,+_06-05-2024 09:00,297,3.24,3.31,2.16,2.16,2,-_22-03-2024 09:00,271,3.34,3.49,-0.9,4.49,28,+_08-05-2024 09:00,299,3.31,3.31,0.0,0.0,0,+_07-05-2024 09:00,298,3.25,3.31,1.85,1.85,1,-_25-03-2024 09:00,272,3.43,3.45,-3.5,0.58,27,+_08-05-2024 09:00,299,3.31,3.31,0.0,0.0,0,+_08-05-2024 09:00,299,3.31,3.31,0.0,0.0,0,5,1,100_89_8_13_5_21_34_55 < EUHOL:3.31,3.21_3.23_3.25_3.26_3.28 < EUHOL:3.31,
2024-05-08 09:00:00,BIST:EUKYO,29.8,32.2,29.3,31.82,384082.0,EUKYO,08-05-2024,31.33,30.62,29.68,28.59,31.53,30.4,31.18,29.59,17.13,1.83,0.37,1.46,,36.1,35.76,16.79,58.85,55.08,+,29.95,29.65,22.82,20.14,26.12,31.11,32.91,30.01,34.01,28.21,755595.67,5.16,-44.97,-,1.2,1.29,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,+,+,,,,,,+_30-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,,,+,,+,,-,,,31.53,31.89,30.54,31.33,32.04,30.48,30.62,31.48,32.63,30.4,31.18,33.44,29.68,29.98,34.05,29.38,29.59,33.77,28.59,29.06,31.81,27.14,28.29,29.8,25.16,26.74,30.14,22.63,24.37,29.63,21.95,23.66,29.53,,,,,,-,,,-,58.85,-1,False,True,+_30-04-2024 09:00,294,28.9,36.2,10.1,25.26,5,+_29-04-2024 09:00,293,27.38,36.2,16.22,32.21,6,-_07-05-2024 09:00,298,30.26,32.2,5.16,6.41,1,+_29-04-2024 09:00,293,27.38,36.2,16.22,32.21,6,+_30-04-2024 09:00,294,28.9,36.2,10.1,25.26,5,-_08-05-2024 09:00,299,31.82,32.2,0.0,1.19,0,+_30-04-2024 09:00,294,28.9,36.2,10.1,25.26,5,+_02-05-2024 09:00,295,31.78,36.2,0.13,13.91,4,-_08-05-2024 09:00,299,31.82,32.2,0.0,1.19,0,5,1,100_89_55_34_21_13_8_5 < EUKYO:31.82,21.95_22.63_25.16_27.14_28.59_29.68_30.62_31.33 < EUKYO:31.82,
2024-05-08 09:00:00,BIST:EUPWR,149.8,150.5,147.7,148.2,656497.0,EUPWR,08-05-2024,150.9,151.6,152.13,152.88,150.48,151.74,151.78,152.06,159.28,-1.5,0.04,-1.55,,13.01,25.37,20.72,42.99,46.49,-,155.2,155.55,160.72,176.35,148.5,148.8,149.9,147.1,151.6,146.0,1452976.0,-0.67,-56.14,-,-0.35,0.06,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,,,,,,,,-_07-05-2024 09:00:00,-_07-05-2024 09:00:00,-,,,,,-,,,-,,,,150.48,150.17,147.25,150.9,151.08,146.58,151.6,151.71,149.87,151.74,151.78,150.98,152.13,152.02,152.09,152.29,152.06,152.14,152.88,152.58,152.18,154.83,152.36,153.2,158.26,154.3,150.55,162.13,160.67,144.94,162.73,161.59,146.22,,,,,,,,-,-,42.99,1,False,False,-_07-05-2024 09:00,260,149.2,153.3,-0.67,2.75,1,-_07-05-2024 09:00,260,149.2,153.3,-0.67,2.75,1,-_06-05-2024 09:00,259,152.3,157.0,-2.69,3.09,2,-_07-05-2024 09:00,260,149.2,153.3,-0.67,2.75,1,-_07-05-2024 09:00,260,149.2,153.3,-0.67,2.75,1,-_07-05-2024 09:00,260,149.2,153.3,-0.67,2.75,1,-_07-05-2024 09:00,260,149.2,153.3,-0.67,2.75,1,-_08-05-2024 09:00,261,148.2,150.5,0.0,1.55,0,-_08-05-2024 09:00,261,148.2,150.5,0.0,1.55,0,0,3,EUPWR:148.2 < 5_8_13_21_34_55_89_100,EUPWR:148.2 < 150.9_151.6_152.13_152.88_154.83_158.26_162.13_162.73,
2024-05-08 09:00:00,BIST:EUREN,16.06,16.1,15.93,15.98,2983910.0,EUREN,08-05-2024,15.91,15.8,15.69,15.71,15.95,15.77,15.85,15.67,15.51,-0.08,0.19,-0.27,,21.31,28.69,15.15,52.33,46.7,+,15.97,15.49,18.1,18.57,15.2,16.0,16.08,15.91,16.17,15.83,10410671.67,-0.75,-72.29,-,1.13,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,,,,,,,,+_24-04-2024 09:00:00,+_03-05-2024 09:00:00,,,,,,+,,-,-,,,,15.95,16.01,16.03,15.91,15.99,16.05,15.8,15.89,16.15,15.77,15.85,16.17,15.69,15.73,16.15,15.67,15.67,16.12,15.71,15.55,16.0,15.92,15.47,15.62,16.16,16.1,14.59,16.3,16.49,15.18,16.3,16.47,15.65,,,,,,,,,,52.33,-1,False,True,+_24-04-2024 09:00,290,15.39,16.89,3.83,9.75,9,+_24-04-2024 09:00,290,15.39,16.89,3.83,9.75,9,-_07-05-2024 09:00,298,16.1,16.1,-0.75,0.0,1,+_03-05-2024 09:00,296,16.2,16.89,-1.36,4.26,3,+_24-04-2024 09:00,290,15.39,16.89,3.83,9.75,9,+_05-04-2024 09:00,281,14.81,16.89,7.9,14.04,18,+_03-05-2024 09:00,296,16.2,16.89,-1.36,4.26,3,+_19-04-2024 09:00,288,15.05,16.89,6.18,12.23,11,+_25-04-2024 09:00,291,15.35,16.89,4.1,10.03,8,1,2,13_21_8_5_34 < EUREN:15.98 < 55_89_100,15.69_15.71_15.8_15.91_15.92 < EUREN:15.98 < 16.16_16.3,
