Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,H_Wma9XH_Wma15,Arasinda(H_Wma9/H_Wma15)
19-01-2024 17:00,7992.74,7999.1,7962.75,7996.7,346420456.0,XU100,7763.98,8026.98,7906.7,7606.68,+_03-01-2024 17:00:00,3.0,-,5.13,-,8013.75,8022.12,63.27,-20.98,84.25,55.27,61.15,-,-,0.04,-54.24,687778582.33,-,17.05,0.21,25.42,0.32,7628.73,8081.69,7628.73,7986.47,14261144762.0,344.03,-136.98,481.0,61.32,62.27,7778.25,7796.41,18.16,7882.79,4.69,54.34,11028344163.0,+,-,+,-,218.45,2.81,+,-,False,-0.23,+,H_Tk:H_Wma15:H_Wma9,2.37,-,,,,,,,,-_18-01-2024 17:00:00,-,,,,
19-01-2024 17:00,28.4,28.48,28.32,28.34,216255.0,A1CAP,31.2,29.02,28.2,27.01,+_02-01-2024 09:00:00,-9.16,-,4.92,-,28.6,28.68,0.24,-0.12,0.36,50.32,57.89,-,-,-0.21,-48.77,340349.33,-,0.26,0.91,0.34,1.19,27.22,29.0,26.5,28.5,6354500.0,-2.92,,,38.68,42.79,28.78,30.79,2.01,35.34,5.17,46.44,5413365.0,+,-,-,-,-0.44,-1.52,-,+,False,-6.53,-,H_Tk:H_Wma15:H_Wma9,-1.03,+,,,,,,,,-_18-01-2024 13:00:00,-,,,,-
19-01-2024 17:00,117.1,117.5,116.7,117.2,17019.0,ACSEL,119.46,117.4,118.5,112.38,-_12-01-2024 09:00:00,-1.89,+,4.29,-,116.97,116.97,-0.44,-0.07,-0.37,48.41,47.09,-,-,0.17,-50.08,41531.0,-,0.23,0.2,0.23,0.2,129.4,135.0,113.0,117.2,1863164.0,12.9,-5.59,18.49,53.83,72.7,122.46,125.34,2.88,125.78,-9.43,-35.36,2581303.0,-,-,+,-,-5.26,-4.29,-,-,True,-2.3,-,H_Tk:H_Wma15:H_Wma9,-4.05,-,,,,,,,,+_19-01-2024 13:00:00,+,+,,,-
19-01-2024 17:00,357.0,359.25,354.75,357.5,30478.0,ADEL,407.54,354.62,372.38,364.62,-_17-01-2024 13:00:00,-12.28,-,-1.95,+,354.11,356.52,-2.34,-1.71,-0.63,47.22,46.21,-,-,0.07,-76.1,90610.0,-,3.39,0.96,0.98,0.28,360.5,404.0,340.0,380.25,2830165.0,15.08,-32.98,48.05,47.77,52.51,387.27,411.66,24.4,529.62,5.62,24.45,2057586.33,+,-,-,-,-29.77,-7.69,-,-,True,-5.93,-,H_Tk:H_Wma15:H_Wma9,-7.23,-,,,,,,,,+_19-01-2024 09:00:00,+,,,,-
19-01-2024 17:00,2.31,2.35,2.29,2.31,11799965.0,ADESE,2.02,2.34,2.2,1.86,+_28-12-2023 17:00:00,14.31,-,24.19,-,2.32,2.33,0.08,-0.01,0.09,62.16,72.18,-,-,0.0,-29.51,19345055.67,-,0.01,0.47,0.02,0.78,2.04,2.1,1.97,2.06,276185992.0,0.07,-0.04,0.11,55.99,54.02,1.95,1.97,0.03,2.18,3.52,59.36,191661696.67,+,-,+,-,0.36,18.56,+,-,False,-1.28,-,H_Tk:H_Wma15:H_Wma9,17.53,-,,,,,,,,-_18-01-2024 13:00:00,-,-,,,
19-01-2024 17:00,32.12,32.16,31.7,31.7,523924.0,ADGYO,31.15,30.62,29.48,28.64,+_18-01-2024 09:00:00,1.77,+,10.68,-,31.26,30.71,0.59,0.24,0.35,65.76,57.22,+,+,-1.43,-66.62,1137765.0,-,0.44,1.4,0.99,3.21,29.24,32.0,28.86,29.12,11805629.0,,,,40.8,,30.61,32.32,1.71,,-0.41,-3.46,11533016.67,-,-,-,-,1.09,3.56,+,-,True,-5.3,-,H_Wma15:H_Wma9:H_Tk,3.56,-,Arasinda,,,,,,,+_18-01-2024 09:00:00,+,,,,
19-01-2024 17:00,134.7,134.7,133.0,134.7,384663.0,AEFES,120.26,132.85,129.05,126.6,+_15-01-2024 17:00:00,12.01,-,6.4,-,133.72,133.41,1.06,0.19,0.86,58.86,55.71,+,+,-0.07,-16.75,418306.67,-,0.98,0.73,1.29,0.97,132.0,135.9,122.2,133.1,15951342.0,13.22,1.25,11.97,66.97,63.78,127.91,122.46,5.44,116.7,1.29,62.85,13940265.0,-,+,+,+,6.79,5.31,+,-,True,4.45,-,H_Wma9:H_Wma15:H_Tk,3.98,-,,,,,,,,+_18-01-2024 13:00:00,+,,,,
19-01-2024 17:00,11.63,11.67,11.5,11.61,983005.0,AFYON,12.15,11.58,11.55,11.16,+_12-01-2024 13:00:00,-4.44,-,3.99,-,11.58,11.58,0.04,-0.01,0.05,52.79,52.9,-,-,-0.17,-64.0,1860958.0,-,0.03,0.27,0.03,0.22,11.47,11.96,11.15,11.63,22364090.0,0.4,-0.6,1.0,48.19,53.52,11.77,12.29,0.53,14.17,1.57,54.29,18720711.67,+,-,-,-,-0.16,-1.32,-,+,False,-4.27,-,H_Tk:H_Wma15:H_Wma9,-0.81,+,,,,,,,,+_19-01-2024 13:00:00,+,,,,-
19-01-2024 17:00,55.0,55.2,54.65,55.0,45453.0,AGESA,56.25,54.48,55.12,56.47,-_18-01-2024 13:00:00,-2.23,-,-2.61,-,55.09,55.27,0.01,-0.06,0.06,48.74,51.53,-,-,0.46,-62.84,96477.0,-,0.09,0.16,0.27,0.49,53.55,55.45,52.65,55.0,3111613.0,3.42,-2.16,5.58,51.45,57.23,55.69,56.74,1.05,64.25,2.71,66.71,2363133.33,+,-,+,-,-0.69,-1.24,-,+,True,-1.84,-,H_Tk:H_Wma15:H_Wma9,-0.88,+,,,,,,,,-_18-01-2024 17:00:00,-,,,,-
19-01-2024 17:00,222.8,222.9,221.0,222.9,82606.0,AGHOL,204.98,223.4,219.05,200.0,+_29-12-2023 13:00:00,8.74,-,11.45,-,222.9,222.37,3.09,-0.35,3.44,58.44,61.67,-,-,0.13,-47.94,153622.33,-,0.0,0.0,0.53,0.24,214.4,221.9,209.0,217.2,3244283.0,18.09,-5.65,23.74,61.49,60.12,206.02,207.0,0.99,221.2,1.59,9.02,2891389.0,+,-,+,-,16.88,8.19,+,-,False,-0.48,+,H_Tk:H_Wma15:H_Wma9,7.27,-,,,,,,+,,+_19-01-2024 17:00:00,+,,,,
19-01-2024 17:00,18.2,18.33,17.9,18.15,2544556.0,AGROT,11.01,16.7,16.18,12.82,+_05-01-2024 13:00:00,64.82,-,41.58,-,17.27,16.86,0.96,0.13,0.83,73.55,66.91,+,+,-0.27,-36.06,5881602.0,-,0.88,5.12,1.29,7.66,12.23,15.53,11.96,15.4,66755089.0,,,,,,,,,,24.49,62.4,46648837.67,-,-,-,-,,,-,-,False,,-,H_Wma9:H_Wma15:H_Tk,,-,,,,,,,,+_18-01-2024 13:00:00,+,,,,
19-01-2024 17:00,9.83,9.83,9.73,9.8,763592.0,AGYO,8.55,9.8,9.56,8.69,+_04-01-2024 13:00:00,14.68,-,12.77,-,9.71,9.74,0.18,-0.02,0.21,59.88,62.0,-,-,-0.1,-63.08,1386391.67,-,0.09,0.94,0.06,0.64,9.02,9.65,8.87,9.4,15088853.0,1.06,-0.07,1.13,63.49,64.18,8.94,8.7,0.24,8.2,4.68,29.52,13128069.0,+,-,+,+,0.86,9.56,+,-,True,2.77,-,H_Wma9:H_Wma15:H_Tk,8.78,-,,,,,,,,+_19-01-2024 09:00:00,+,,,,
19-01-2024 17:00,11.96,12.1,11.95,12.1,12162531.0,AHGAZ,11.57,11.32,11.04,10.32,+_12-01-2024 13:00:00,4.56,-,17.3,-,11.39,11.14,0.36,0.15,0.21,86.48,68.51,+,+,1.17,-0.64,10767269.67,+,0.71,6.2,0.96,8.59,10.25,10.45,9.98,10.36,41090955.0,-0.0,-0.66,0.66,37.28,52.66,11.0,11.67,0.67,12.05,1.47,42.5,65454671.0,-,-,-,-,1.1,9.99,+,-,False,-5.75,-,H_Tk:H_Wma15:H_Wma9,8.63,-,,,,,,,,+_17-01-2024 09:00:00,+,,,,
19-01-2024 17:00,41.02,41.16,40.74,40.92,17105960.0,AKBNK,35.82,41.78,41.84,38.32,-_19-01-2024 09:00:00,14.24,-,6.78,-,41.3,41.58,0.35,-0.35,0.69,48.61,57.34,-,-,-0.24,-50.36,30286793.33,-,0.38,0.92,0.66,1.58,37.4,44.26,37.38,43.26,782706010.0,4.15,0.67,3.48,74.45,65.78,37.95,35.85,2.11,35.89,17.62,157.44,503619470.0,+,+,+,-,2.97,7.82,+,-,True,5.88,-,H_Wma9:H_Tk:H_Wma15,7.34,-,,,,,,,,-_18-01-2024 17:00:00,-,,,,
19-01-2024 17:00,160.1,163.0,159.5,162.0,262165.0,AKCNS,148.05,157.95,155.7,138.7,+_28-12-2023 17:00:00,9.42,-,16.8,-,160.71,158.92,3.77,0.28,3.49,66.72,64.56,+,+,1.19,16.31,251660.67,+,1.29,0.8,3.08,1.94,144.0,156.8,143.2,154.6,6175761.0,10.88,-7.05,17.94,59.29,62.89,142.71,148.35,5.64,160.75,8.87,53.8,5847450.0,+,-,+,-,19.29,13.52,+,-,False,-3.8,-,H_Tk:H_Wma15:H_Wma9,11.76,-,,,,,,,,+_19-01-2024 13:00:00,+,,,,
19-01-2024 17:00,4.41,4.41,4.35,4.37,1158873.0,AKENR,4.73,4.62,4.57,4.31,+_15-01-2024 09:00:00,-7.58,-,1.27,+,4.42,4.43,0.02,-0.01,0.03,45.89,57.5,-,-,-0.68,30.17,1084135.33,+,0.05,1.05,0.06,1.32,4.31,4.43,4.24,4.33,11620055.0,-0.15,-0.17,0.03,39.71,47.62,4.51,4.72,0.21,5.58,0.46,-20.44,11908799.33,-,-,-,-,-0.14,-3.15,-,-,False,-4.48,-,H_Tk:H_Wma15:H_Wma9,-2.26,-,,,,,,,,-_19-01-2024 09:00:00,-,,,,-
