Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
26-02-2024 13:00,9342.01,9342.01,9337.09,9337.09,6728934.0,XU100,8385.85,9348.3,9184.11,8566.46,+_03-01-2024 17:00:00,11.34,-,9.0,-,9355.29,9346.57,75.55,-16.22,91.78,57.67,60.78,-,-,-0.06,-99.56,692714050.33,-,18.2,0.19,9.48,0.1,9250.36,9416.7,9173.27,9374.2,18444776172.0,532.56,85.85,446.71,75.4,63.36,8757.6,8445.84,311.75,8309.79,1.34,-7.06,17848925608.33,+,+,+,+,,+_29-01-2024 09:00:00,579.49,6.62,+,-,True,3.69,-,H_Wma9:H_Wma15:H_Tk,6.62,-,,,,,,,,-_26-02-2024 09:00:00,-,,,
26-02-2024 13:00,32.38,32.38,32.32,32.34,15166.0,A1CAP,31.46,32.41,32.67,30.66,-_22-02-2024 09:00:00,2.79,-,5.48,-,32.34,32.27,0.02,-0.03,0.05,50.64,48.95,-,+,-0.19,-98.91,573592.67,-,0.0,0.01,0.07,0.22,33.68,34.4,31.52,32.3,11829385.0,-1.6,0.56,-2.16,48.91,41.63,31.21,30.51,0.7,34.38,-3.52,-8.91,13085077.0,-,+,-,-,,+_19-02-2024 09:00:00,1.13,3.62,+,-,True,2.3,-,H_Tk:H_Wma9:H_Wma15,3.56,-,,,,,,-,,-_26-02-2024 13:00:00,+,,,
26-02-2024 13:00,180.1,180.2,179.9,180.2,2220.0,ACSEL,131.8,168.35,161.7,136.15,+_20-02-2024 13:00:00,36.72,-,32.35,-,175.78,169.48,9.88,2.5,7.38,72.97,67.91,+,+,0.06,-99.6,254261.67,-,4.42,2.52,10.72,6.32,145.0,181.5,140.5,174.9,4649003.0,13.35,2.32,11.03,73.93,62.77,140.74,134.52,6.23,135.62,20.62,82.14,3384181.33,+,+,+,-,,+_19-02-2024 09:00:00,39.46,28.03,+,-,False,4.63,-,H_Wma9:H_Tk:H_Wma15,27.82,-,,,,,,,,+_22-02-2024 09:00:00,+,,,
26-02-2024 13:00,574.5,575.0,574.0,574.5,1482.0,ADEL,463.52,570.0,582.5,461.12,-_22-02-2024 13:00:00,23.94,-,24.59,-,564.97,564.25,5.9,-1.95,7.85,58.83,54.48,-,+,-0.09,-99.48,120269.33,-,9.53,1.69,10.25,1.82,582.0,588.0,541.0,558.0,1660166.0,34.96,8.59,26.36,61.48,52.39,485.98,454.54,31.44,466.62,-3.79,-44.75,2284731.67,-,+,+,-,,+_12-02-2024 09:00:00,88.52,18.21,+,-,True,6.92,-,H_Wma9:H_Tk:H_Wma15,18.11,-,,,,,,,,+_26-02-2024 09:00:00,+,+,,
26-02-2024 13:00,2.83,2.83,2.82,2.83,25372.0,ADESE,2.39,2.96,2.96,2.65,-_26-02-2024 13:00:00,18.62,-,6.79,-,2.87,2.89,0.01,-0.02,0.04,45.61,55.66,-,-,0.0,-99.9,12874574.0,-,0.04,1.27,0.06,2.22,2.89,3.15,2.83,2.83,700409320.0,0.22,0.08,0.14,72.88,58.5,2.56,2.37,0.19,2.4,-1.05,4.02,654196332.33,+,+,+,-,,+_22-01-2024 09:00:00,0.27,10.46,+,-,False,8.18,-,H_Wma9:H_Tk:H_Wma15,10.07,-,,,,,,,,-_22-02-2024 13:00:00,-,,,
26-02-2024 13:00,37.94,37.98,37.94,37.94,4425.0,ADGYO,33.26,38.34,37.35,33.43,+_14-02-2024 17:00:00,14.06,-,13.49,-,38.33,37.96,0.76,0.02,0.74,58.54,62.43,+,-,0.0,-99.8,886218.67,-,0.39,1.02,0.02,0.04,37.44,39.4,35.2,39.12,17443680.0,,,,67.75,,34.62,33.44,1.18,33.5,4.65,-28.36,23013674.67,-,-,+,-,,+_19-02-2024 09:00:00,3.32,9.57,+,-,False,3.54,-,H_Wma9:H_Tk:H_Wma15,9.57,-,,,,,,,-,-_26-02-2024 09:00:00,-,,,
26-02-2024 13:00,154.9,154.9,154.7,154.8,2142.0,AEFES,136.83,155.35,155.35,144.7,+_26-01-2024 13:00:00,13.13,-,6.98,-,154.92,155.35,-0.07,-0.42,0.35,47.95,50.22,-,-,0.0,-99.74,453628.67,-,0.12,0.08,0.55,0.36,159.1,159.8,152.5,153.1,8976831.0,15.76,1.85,13.91,70.54,67.73,148.2,141.42,6.78,126.8,-3.53,-17.32,12264775.67,-,+,+,+,,+_13-11-2023 09:00:00,6.6,4.45,+,-,False,4.79,-,H_Wma9:H_Wma15:H_Tk,4.38,-,,,,,,,,-_22-02-2024 13:00:00,-,,,
26-02-2024 13:00,13.71,13.72,13.7,13.7,19364.0,AFYON,12.6,13.98,13.42,12.5,+_19-02-2024 09:00:00,8.72,-,9.6,-,13.85,13.82,0.21,-0.02,0.23,55.24,63.06,-,-,0.0,-99.6,2012659.33,-,0.15,1.11,0.12,0.86,13.47,14.28,13.0,13.97,76705871.0,0.35,0.04,0.31,60.72,51.86,12.79,12.48,0.32,13.76,5.35,50.71,60640112.67,+,+,+,-,,+_19-02-2024 09:00:00,0.91,7.08,+,-,False,2.53,-,H_Tk:H_Wma9:H_Wma15,7.08,-,,,,,,,,-_26-02-2024 09:00:00,-,,,
26-02-2024 13:00,64.4,64.5,64.35,64.35,7994.0,AGESA,58.79,63.78,64.2,59.18,-_21-02-2024 09:00:00,9.45,-,8.75,-,63.84,63.38,0.5,0.1,0.41,57.97,52.67,+,+,-0.08,-98.25,218636.33,-,0.51,0.79,0.97,1.53,64.35,66.6,60.95,64.0,5801104.0,3.0,-0.09,3.09,61.6,54.88,60.13,58.64,1.49,63.25,0.0,-2.84,5284361.0,+,-,+,-,,+_12-02-2024 09:00:00,4.22,7.02,+,-,True,2.54,-,H_Tk:H_Wma9:H_Wma15,7.02,-,,,,,,,,+_22-02-2024 09:00:00,+,,,
26-02-2024 13:00,267.25,268.0,267.25,268.0,2898.0,AGHOL,228.52,262.88,260.5,244.15,+_26-01-2024 13:00:00,17.28,-,9.77,-,262.91,262.28,2.14,-0.09,2.23,62.79,55.74,-,+,0.19,-99.65,329534.67,-,5.09,1.94,5.72,2.18,267.25,270.75,254.5,259.5,4846046.0,21.24,2.62,18.62,70.71,61.88,244.14,231.6,12.53,227.7,-1.98,6.0,5162276.33,-,+,+,+,,+_22-01-2024 09:00:00,23.86,9.77,+,-,False,5.41,-,H_Wma9:H_Wma15:H_Tk,9.47,-,,,,,,,,+_26-02-2024 09:00:00,+,,,
26-02-2024 13:00,41.2,41.32,41.18,41.24,171543.0,AGROT,23.74,40.26,42.38,30.36,-_22-02-2024 09:00:00,73.69,-,35.84,-,40.9,40.69,0.44,-0.32,0.76,53.88,51.6,-,+,0.1,-99.37,12121039.33,-,0.34,0.82,0.55,1.36,44.28,45.16,37.52,41.0,320613061.0,,,,,,31.26,,,,-7.45,197.59,165797043.0,+,-,-,-,,,9.98,31.93,+,-,False,,-,H_Wma9:H_Wma15:H_Tk,31.74,-,,,,,,,,+_23-02-2024 09:00:00,+,,,
26-02-2024 13:00,11.15,11.15,11.14,11.15,39138.0,AGYO,9.14,10.58,10.55,9.51,+_13-02-2024 17:00:00,21.94,-,17.31,-,10.66,10.6,0.35,0.04,0.31,65.94,64.74,+,+,-0.09,-99.43,2894470.67,-,0.49,4.64,0.55,5.15,9.19,12.19,9.15,10.43,81092957.0,0.84,-0.02,0.86,66.2,61.93,9.49,9.31,0.18,9.36,13.62,190.97,42248334.0,+,-,+,-,,+_26-06-2023 09:00:00,1.66,17.49,+,-,True,1.9,-,H_Wma9:H_Tk:H_Wma15,17.39,-,,,,,,,,+_23-02-2024 09:00:00,+,+,,
26-02-2024 13:00,13.08,13.08,13.06,13.07,27055.0,AHGAZ,12.38,13.26,13.34,12.89,-_16-02-2024 17:00:00,5.57,-,1.4,+,13.18,13.2,-0.03,-0.03,-0.01,38.85,46.44,-,-,-0.08,-99.49,2304396.0,-,0.11,0.82,0.13,1.01,13.38,13.46,13.15,13.17,53358160.0,0.39,0.04,0.35,58.33,50.07,12.73,12.29,0.44,11.89,-1.42,-28.69,63510573.33,-,+,+,+,,+_12-02-2024 09:00:00,0.34,2.68,+,-,True,3.61,-,H_Wma9:H_Wma15:H_Tk,2.6,-,,,,,,,,-_23-02-2024 09:00:00,-,,,
