Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
22-02-2024 13:00,16.98,17.1,16.69,16.81,722686.0,IZFAS,14.27,16.86,17.26,16.48,-_16-02-2024 09:00:00,17.81,-,1.97,+,16.9,16.96,-0.01,-0.06,0.05,46.0,50.66,-,-,-1.0,-40.76,866206.33,-,0.09,0.51,0.15,0.91,17.38,18.08,16.5,17.25,19597325.0,1.95,,,71.92,62.95,16.09,14.78,1.31,12.48,-0.23,-24.49,23225202.33,-,-,+,+,,+_11-12-2023 09:00:00,0.72,4.48,+,-,True,8.86,-,H_Wma9:H_Wma15:H_Tk,3.74,-,,,,,,-,,-_22-02-2024 13:00:00,-,,,
22-02-2024 13:00,44.16,45.7,43.8,44.8,416848.0,IZINV,40.1,43.5,43.5,42.76,+_22-02-2024 13:00:00,11.72,-,4.77,-,42.93,42.65,0.03,0.24,-0.21,64.34,47.02,+,+,1.45,-0.61,305264.67,+,1.87,4.35,2.15,5.04,43.08,45.48,41.3,43.3,2257581.0,2.55,,,62.62,60.86,40.88,40.48,0.4,41.24,0.51,-5.97,2540457.0,-,-,+,-,,+_12-02-2024 09:00:00,3.92,9.59,+,-,False,1.0,-,H_Tk:H_Wma9:H_Wma15,7.14,-,,,,,,,,+_21-02-2024 17:00:00,+,,,
22-02-2024 13:00,6.87,6.94,6.82,6.86,8748117.0,IZMDC,6.28,6.72,6.66,6.36,+_16-02-2024 09:00:00,9.31,-,7.86,-,6.77,6.74,0.06,0.01,0.05,62.53,57.5,+,+,-0.15,-28.82,8033066.67,-,0.09,1.33,0.12,1.71,6.72,6.84,6.36,6.77,99461898.0,-0.42,,,54.79,38.12,6.34,6.12,0.22,6.38,1.35,-18.8,104818848.0,-,-,+,-,,+_29-01-2024 09:00:00,0.52,8.18,+,-,True,3.59,-,H_Tk:H_Wma9:H_Wma15,7.54,-,,,,,,,,+_21-02-2024 09:00:00,+,,,
22-02-2024 13:00,189.5,192.3,188.0,191.3,433384.0,JANTS,151.5,191.95,197.45,149.0,-_22-02-2024 13:00:00,26.27,-,28.39,-,189.45,191.64,4.29,-2.69,6.98,55.68,59.51,-,-,0.84,-27.53,430020.67,+,1.85,0.98,0.34,0.18,173.5,222.5,172.4,204.9,19024891.0,7.86,,,77.98,55.75,155.8,149.78,6.02,172.25,22.04,139.62,10396423.67,+,-,+,-,,+_12-02-2024 09:00:00,35.5,22.79,+,-,False,4.02,-,H_Tk:H_Wma9:H_Wma15,20.67,-,,,,,,,,+_22-02-2024 09:00:00,-,,,
22-02-2024 13:00,154.4,154.4,154.4,154.4,93511.0,KAPLM,105.89,153.3,133.65,100.78,+_29-01-2024 09:00:00,45.82,-,53.21,-,149.81,147.19,11.16,0.66,10.49,72.59,81.07,+,-,0.0,-86.8,365925.67,-,4.59,3.06,7.21,4.9,106.4,129.0,101.1,129.0,2107707.0,-1.98,,,69.39,45.09,103.05,100.39,2.66,105.8,22.39,85.8,1428316.67,+,-,+,-,+,+_19-02-2024 09:00:00,51.35,49.83,+,-,False,2.65,-,H_Tk:H_Wma9:H_Wma15,49.83,-,,,,,,,,+_22-02-2024 09:00:00,+,,,
22-02-2024 13:00,17.04,17.15,16.76,17.14,1910800.0,KAREL,14.02,16.69,16.16,14.1,+_26-01-2024 13:00:00,22.25,-,21.52,-,16.76,16.63,0.42,0.02,0.4,67.51,62.99,+,+,0.59,-59.99,2635966.0,-,0.38,2.27,0.51,3.09,15.94,16.9,15.08,16.25,44387260.0,0.15,,,64.55,49.39,14.1,13.66,0.44,14.6,2.07,-30.51,50582463.67,-,-,+,-,,+_12-02-2024 09:00:00,3.04,21.54,+,-,False,3.21,-,H_Tk:H_Wma9:H_Wma15,18.85,-,,,,,,,,+_20-02-2024 09:00:00,+,,,
22-02-2024 13:00,10.45,10.61,10.32,10.37,47535400.0,KARSN,9.61,10.3,10.21,9.6,+_16-02-2024 09:00:00,7.9,-,7.96,-,10.2,10.22,0.07,-0.01,0.08,59.08,57.4,-,+,-0.77,119.23,24222279.0,+,0.17,1.62,0.15,1.45,10.44,10.57,9.77,10.43,104673608.0,-0.58,,,56.69,37.36,9.63,9.4,0.22,10.57,1.07,5.96,93828565.33,+,-,+,-,,+_12-02-2024 09:00:00,0.74,7.71,+,-,True,2.39,-,H_Tk:H_Wma9:H_Wma15,7.19,-,,,,,,,,+_22-02-2024 09:00:00,+,,,
22-02-2024 13:00,93.85,98.6,92.85,97.2,558011.0,KARTN,81.16,95.18,91.55,77.78,+_16-01-2024 13:00:00,19.76,-,24.98,-,93.91,93.89,2.11,-0.36,2.47,64.93,59.87,-,+,3.9,127.23,295171.33,+,3.29,3.51,3.31,3.52,82.95,96.65,82.9,92.15,7521747.0,-0.28,,,67.72,47.97,79.63,78.73,0.91,86.3,13.42,250.84,3817599.0,+,-,+,-,+,+_19-02-2024 09:00:00,17.57,22.06,+,-,False,1.15,-,H_Tk:H_Wma9:H_Wma15,16.6,-,,,,,,,,+_22-02-2024 09:00:00,+,+,,
22-02-2024 13:00,64.2,66.45,64.2,64.7,338797.0,KARYE,38.68,62.52,66.72,39.79,-_20-02-2024 17:00:00,67.27,-,62.62,-,65.55,65.11,2.16,-1.01,3.16,53.44,56.75,-,-,0.78,-74.54,835691.67,-,0.85,1.3,0.41,0.63,57.7,78.4,57.5,66.05,16856221.0,5.09,,,85.78,55.33,41.61,35.77,5.83,49.2,20.2,10.14,27573716.33,-,-,+,-,,+_29-01-2024 09:00:00,23.09,55.51,+,-,False,16.3,-,H_Tk:H_Wma9:H_Wma15,54.31,-,,,,,,,,-_22-02-2024 09:00:00,-,,,
22-02-2024 13:00,2.58,2.59,2.56,2.59,17274421.0,KATMR,2.32,2.66,2.68,2.4,-_22-02-2024 13:00:00,11.79,-,8.14,-,2.63,2.66,0.02,-0.03,0.05,46.28,56.76,-,-,0.39,-45.52,20384187.67,-,0.04,1.37,0.07,2.55,2.63,2.8,2.52,2.68,489579091.0,0.08,,,67.02,52.65,2.34,2.26,0.08,2.54,2.68,-4.13,423363928.33,+,-,+,-,,+_12-02-2024 09:00:00,0.25,10.74,+,-,False,3.64,-,H_Tk:H_Wma9:H_Wma15,9.45,-,,,,,,,,-_20-02-2024 13:00:00,-,,,
