Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
02-02-2024 17:00,8636.91,8680.25,8629.26,8665.68,471252486.0,XU100,7925.14,8600.86,8339.18,7703.14,+_03-01-2024 17:00:00,9.34,-,12.5,-,8641.95,8600.06,147.38,4.45,142.94,68.8,71.27,+,-,0.34,-50.91,943177275.67,-,23.73,0.27,65.62,0.76,7996.7,8347.58,7915.48,8346.28,13426798113.0,293.95,-46.75,340.7,65.36,59.69,7915.21,7882.14,33.07,7882.79,4.37,16.85,13059638812.67,+,-,+,-,+,+,750.47,9.48,+,-,False,0.42,+,H_Wma9:H_Tk:H_Wma15,9.02,-,,,,,,,,+_01-02-2024 09:00:00,+,,,
02-02-2024 17:00,31.3,31.36,31.12,31.18,296310.0,A1CAP,30.95,30.93,30.08,27.62,+_25-01-2024 09:00:00,0.74,+,12.89,-,31.04,30.92,0.48,-0.03,0.51,63.21,63.07,-,+,-0.32,-80.06,1076674.67,-,0.14,0.46,0.26,0.83,28.36,31.28,28.02,30.68,8479909.0,-2.71,,,44.8,41.6,28.68,29.98,1.3,34.9,8.26,26.71,7175630.67,+,-,-,-,,-,2.5,8.7,+,-,True,-4.33,-,H_Tk:H_Wma15:H_Wma9,8.49,-,,,,,,,,+_02-02-2024 09:00:00,+,,,
02-02-2024 17:00,130.8,131.4,130.4,131.1,32391.0,ACSEL,120.95,133.8,126.75,112.92,+_25-01-2024 13:00:00,8.39,-,16.09,-,131.87,130.99,3.28,0.09,3.19,63.12,67.78,+,-,0.15,-60.18,79344.0,-,0.77,0.58,0.11,0.09,117.3,127.1,115.2,122.9,1842334.0,10.92,-5.18,16.1,56.26,67.93,120.19,123.94,3.76,126.38,4.86,89.89,1558563.0,-,-,+,-,,-,10.91,9.08,+,-,False,-3.03,-,H_Tk:H_Wma15:H_Wma9,8.5,-,,,,,,,,-_02-02-2024 09:00:00,+,,,
02-02-2024 17:00,511.0,517.0,503.5,515.0,78517.0,ADEL,411.82,481.12,444.5,358.62,+_24-01-2024 13:00:00,25.06,-,43.6,-,500.68,481.77,35.7,7.49,28.22,78.82,77.07,+,+,0.68,-44.48,233351.0,-,14.32,2.86,33.23,6.9,360.0,416.0,352.25,394.0,1995924.0,-0.71,-21.01,20.3,49.05,50.04,375.51,396.86,21.36,498.12,10.21,72.8,1993705.67,-,-,-,-,,-,139.49,37.15,+,-,False,-5.38,-,H_Tk:H_Wma15:H_Wma9,34.09,-,,,,,,,,+_30-01-2024 17:00:00,+,,,
02-02-2024 17:00,2.4,2.49,2.39,2.48,33790574.0,ADESE,2.11,2.38,2.4,2.16,-_26-01-2024 13:00:00,17.35,-,14.81,-,2.39,2.36,0.02,0.01,0.01,70.74,52.86,+,+,3.33,-13.86,33371739.67,+,0.09,3.8,0.12,4.94,2.31,2.53,2.29,2.31,375655979.0,0.09,0.02,0.07,63.11,53.67,2.08,2.05,0.03,2.18,0.0,-2.9,346236084.0,+,+,+,-,,+,0.4,19.18,+,-,False,1.65,-,H_Tk:H_Wma9:H_Wma15,14.85,-,,,,,,,,+_31-01-2024 09:00:00,+,,,
02-02-2024 17:00,33.8,34.0,33.46,33.46,1286257.0,ADGYO,31.49,33.96,33.08,29.48,+_18-01-2024 09:00:00,6.26,-,13.5,-,33.68,33.68,0.69,-0.08,0.77,57.53,64.85,-,-,-1.01,-34.17,1482328.33,-,0.22,0.64,0.22,0.65,31.46,35.0,29.86,32.0,37702095.0,,,,50.6,,30.51,31.96,1.46,,0.95,152.93,21471332.0,+,-,+,-,,-,2.95,9.69,+,-,True,-4.56,-,H_Wma15:H_Wma9:H_Tk,9.69,-,,,,,,-,-,-_02-02-2024 17:00:00,-,-,,
02-02-2024 17:00,148.2,149.4,147.6,149.4,323648.0,AEFES,125.46,145.05,141.55,131.1,+_26-01-2024 13:00:00,19.09,-,13.96,-,148.56,146.67,3.95,0.58,3.37,66.3,66.15,+,+,0.74,-48.73,586391.0,-,0.84,0.57,2.73,1.86,135.0,139.5,130.6,139.1,10423804.0,12.73,1.41,11.32,69.41,64.56,132.86,127.24,5.62,116.7,3.27,35.97,11347212.67,-,+,+,+,,+,16.54,12.45,+,-,False,4.42,-,H_Wma9:H_Wma15:H_Tk,11.09,-,,,,,,,,+_01-02-2024 09:00:00,+,,,
02-02-2024 17:00,12.56,12.65,12.55,12.6,1199206.0,AFYON,12.2,12.67,12.37,11.42,+_12-01-2024 13:00:00,3.26,-,10.38,-,12.65,12.6,0.19,-0.01,0.2,58.66,63.35,-,-,0.32,-57.18,2811329.33,-,0.05,0.38,0.0,0.02,11.61,12.52,11.61,12.46,42803465.0,0.27,-0.38,0.65,52.58,51.47,11.74,12.09,0.35,14.17,7.32,46.94,31432744.0,+,-,+,-,,-,0.86,7.31,+,-,False,-2.92,-,H_Tk:H_Wma15:H_Wma9,6.89,-,,,,,,,+,-_02-02-2024 09:00:00,+,,,
02-02-2024 17:00,58.05,58.4,57.95,58.15,54112.0,AGESA,56.55,58.62,57.02,57.35,+_22-01-2024 09:00:00,2.82,-,1.39,+,58.45,58.41,0.63,-0.08,0.71,55.78,63.31,-,-,0.26,-60.39,151845.0,-,0.3,0.51,0.26,0.45,55.1,57.7,54.3,56.9,2852246.0,2.21,-1.36,3.57,53.15,54.06,55.63,56.17,0.54,64.25,3.45,2.14,2918789.0,+,-,+,-,,-,2.52,4.53,+,-,False,-0.97,-,H_Tk:H_Wma15:H_Wma9,4.17,-,,,,,,,,-_02-02-2024 09:00:00,-,,,
02-02-2024 17:00,233.7,235.6,233.2,235.6,145211.0,AGHOL,211.08,234.55,228.45,206.05,+_26-01-2024 13:00:00,11.62,-,14.34,-,234.37,234.2,3.39,-0.15,3.55,61.26,64.71,-,-,0.81,-36.88,263582.0,-,1.23,0.53,1.4,0.6,220.9,230.4,215.3,229.0,3643697.0,15.97,-1.43,17.4,64.84,59.61,214.32,211.39,2.93,218.45,2.74,24.54,3271219.67,+,-,+,-,,+,21.28,9.93,+,-,False,1.39,-,H_Tk:H_Wma9:H_Wma15,8.81,-,,,,,,+,+,+_02-02-2024 17:00:00,+,,,
