Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,H_Wma9XH_Wma15,Arasinda(H_Wma9/H_Wma15)
23-01-2024 13:00,8090.8,8091.65,8016.38,8046.68,428115470.0,XU100,7779.09,8041.46,7960.36,7606.68,+_03-01-2024 17:00:00,3.44,-,5.78,-,8037.77,8034.96,54.36,-11.78,66.14,56.38,59.0,-,-,-0.54,-65.03,674756635.67,-,8.91,0.11,11.72,0.15,7986.47,8116.9,7937.06,7996.7,11490973563.0,336.73,-115.42,452.15,61.48,61.41,7813.36,7815.47,2.11,7882.79,0.13,-19.42,11664141932.33,+,-,+,-,233.32,2.99,+,-,True,-0.03,+,H_Tk:H_Wma15:H_Wma9,2.6,-,,,,,,,,+_23-01-2024 09:00:00,+,,,,
23-01-2024 13:00,28.94,29.2,28.72,29.18,371981.0,A1CAP,31.08,28.61,28.62,27.01,-_23-01-2024 09:00:00,-6.11,-,8.03,-,28.72,28.72,0.23,-0.03,0.26,61.04,56.44,-,+,0.83,-36.58,367897.67,+,0.46,1.61,0.46,1.61,28.5,29.9,28.14,28.34,6692483.0,-2.93,,,38.39,41.94,28.43,30.18,1.75,34.9,-0.56,5.32,5795426.0,+,-,-,-,0.75,2.63,+,-,False,-5.78,-,H_Tk:H_Wma15:H_Wma9,1.01,+,YukariDondu:Arasinda,,,,,,,+_23-01-2024 09:00:00,+,,,,
23-01-2024 13:00,120.6,121.3,118.0,118.5,76747.0,ACSEL,119.39,118.7,117.7,112.38,+_23-01-2024 09:00:00,-0.74,+,5.45,-,117.74,117.43,-0.07,0.24,-0.3,52.42,48.06,+,+,-1.74,-59.83,99031.0,-,0.76,0.65,1.07,0.91,117.3,122.4,115.6,117.2,970191.0,11.63,-5.49,17.12,53.83,70.61,120.51,124.34,3.83,126.38,0.0,-47.93,1905196.0,-,-,+,-,-2.01,-1.67,-,+,False,-3.08,-,H_Tk:H_Wma15:H_Wma9,0.66,+,AsagiKesti,AsagiKesti,-,,,,,+_23-01-2024 09:00:00,+,,-,,-
23-01-2024 13:00,369.5,377.75,367.75,370.0,70125.0,ADEL,405.6,361.38,368.5,361.88,-_17-01-2024 13:00:00,-8.78,-,2.25,-,364.66,361.07,0.8,1.17,-0.36,58.62,47.47,+,+,0.07,-57.24,92729.33,-,5.34,1.47,8.93,2.47,380.25,386.0,345.0,357.5,1155028.0,9.64,-30.73,40.37,45.6,51.27,376.49,400.98,24.49,529.62,-5.98,-59.19,2086427.0,-,-,-,-,-6.49,-1.72,-,+,True,-6.11,-,H_Tk:H_Wma15:H_Wma9,0.33,+,,,,,,,,+_19-01-2024 09:00:00,+,,,,-
23-01-2024 13:00,2.47,2.49,2.45,2.45,12075502.0,ADESE,2.04,2.39,2.28,1.88,+_28-12-2023 17:00:00,19.93,-,30.67,-,2.43,2.4,0.09,0.0,0.09,66.47,68.91,+,-,-0.81,-48.83,15521857.67,-,0.02,0.92,0.05,2.07,2.07,2.43,2.06,2.31,386866281.0,0.09,-0.02,0.11,63.61,54.17,2.02,2.01,0.01,2.18,12.14,40.07,278787046.67,+,-,+,-,0.43,21.47,+,-,True,0.35,+,H_Tk:H_Wma9:H_Wma15,21.47,-,,,,,,,,+_22-01-2024 09:00:00,+,,,,
23-01-2024 13:00,30.48,30.6,30.12,30.24,378273.0,ADGYO,31.12,31.2,29.48,29.1,+_18-01-2024 09:00:00,-2.82,-,3.92,-,30.76,30.79,0.32,-0.07,0.39,49.71,57.9,-,-,-0.85,-50.22,599412.67,-,0.52,1.7,0.55,1.78,26.68,32.28,26.68,31.7,14906272.0,,,,49.67,,30.44,32.12,1.67,,8.86,26.26,12980338.33,+,-,-,-,-0.2,-0.67,-,+,False,-5.21,-,H_Wma15:H_Wma9:H_Tk,0.51,+,AsagiKesti,AsagiKesti,,,,,,-_22-01-2024 09:00:00,-,-,-,,
23-01-2024 13:00,134.9,134.9,133.5,133.9,345026.0,AEFES,120.98,135.5,132.65,128.05,+_15-01-2024 17:00:00,10.68,-,4.57,-,134.9,134.4,1.13,0.05,1.08,52.93,56.26,+,-,-0.74,-59.76,492261.33,-,1.0,0.74,0.5,0.37,134.1,135.9,130.4,134.7,7666492.0,13.26,1.03,12.23,67.7,63.99,130.23,124.66,5.57,116.7,1.2,-51.94,11137594.67,-,+,+,+,3.67,2.82,+,-,True,4.47,-,H_Wma9:H_Wma15:H_Tk,2.51,-,,,,,,,-,-_23-01-2024 09:00:00,-,,,,
23-01-2024 13:00,12.04,12.08,11.9,12.01,1338214.0,AFYON,12.14,11.86,11.72,11.16,+_12-01-2024 13:00:00,-1.08,+,7.57,-,11.88,11.78,0.12,0.04,0.08,62.72,55.38,+,+,-0.25,-73.91,2738769.0,-,0.13,1.07,0.23,1.91,11.63,11.93,11.41,11.61,29130677.0,0.33,-0.54,0.87,48.08,52.32,11.65,12.11,0.46,14.17,-0.17,30.26,21996634.0,+,-,-,-,0.36,3.08,+,-,True,-3.83,-,H_Tk:H_Wma15:H_Wma9,2.13,-,Arasinda,,,,,,,+_19-01-2024 13:00:00,+,,,,
23-01-2024 13:00,56.45,56.5,56.0,56.45,81069.0,AGESA,56.25,56.12,55.28,56.47,+_22-01-2024 09:00:00,0.36,+,-0.04,+,55.85,55.64,0.25,0.12,0.13,58.68,52.07,+,+,0.0,-77.14,173628.0,-,0.6,1.07,0.81,1.46,55.2,57.45,52.85,55.0,2792508.0,3.05,-2.03,5.07,51.45,55.94,55.42,56.25,0.83,64.25,0.0,-10.26,2590216.67,+,-,+,-,1.03,1.86,+,+,False,-1.47,-,H_Tk:H_Wma15:H_Wma9,1.05,+,,,,,,,,+_22-01-2024 09:00:00,+,,,,
23-01-2024 13:00,220.3,220.5,218.5,219.3,106667.0,AGHOL,205.7,223.3,219.8,200.0,+_29-12-2023 13:00:00,6.61,-,9.65,-,220.6,221.28,1.63,-0.88,2.51,50.71,57.9,-,-,-0.5,-52.69,133290.0,-,1.3,0.59,1.98,0.89,217.3,228.6,217.2,222.9,2925679.0,18.08,-4.53,22.6,63.34,60.0,209.75,208.79,0.96,221.2,2.62,-9.82,3048639.67,+,-,+,-,9.55,4.55,+,-,True,0.46,+,H_Tk:H_Wma9:H_Wma15,4.17,-,,,,,,,,-_22-01-2024 09:00:00,-,,,,
