Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,Kaas_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
A1CAP,02-04-2024,28.5,0.78,-57.12,28.46,28.74,29.29,28.4,28.85,28.42,28.94,33.51,28.69,1312587.67,38.87,+,,,,,,,,,+,,,,,-,,,,,,2,1
AEFES,02-04-2024,157.2,1.42,-63.43,153.65,152.06,150.56,154.34,151.66,152.58,150.26,117.9,157.1,4951043.0,59.76,,,,,,,,,,,,,+,,+,,,,,,2,0
AGESA,02-04-2024,76.1,1.74,50.23,74.34,73.85,73.18,74.62,73.72,73.57,73.62,55.13,76.75,478012.67,63.44,,,,,,,,,,,,,+,,-,,,,+,,2,1
XU100,02-04-2024,9172.29,0.16,-49.42,9102.64,9066.75,9038.96,9119.91,9058.81,9066.72,9025.88,7689.9,9191.69,2525604564.33,57.25,,,,,,,,,+,,,,-,,-,,,,,,1,2
ACSEL,02-04-2024,149.2,0.54,-23.13,149.87,151.81,154.74,149.38,152.47,150.1,153.57,120.41,150.27,158267.0,43.67,,,,,,,,,,,,,-,,,,+,,,,1,1
ADEL,02-04-2024,619.0,-1.75,-58.53,641.49,652.26,656.38,636.36,654.26,649.8,669.55,430.35,626.33,255636.67,47.26,,,,,,,,,,,,,+,,,-,,,,,1,1
ADGYO,02-04-2024,27.92,0.72,-51.29,28.3,28.93,30.1,28.15,29.17,28.32,29.35,33.09,27.85,1107977.0,30.86,,,,,,,,,,,,,,,+,,,,,,1,0
AGHOL,02-04-2024,278.75,0.81,-39.68,272.47,268.95,265.98,274.07,268.15,269.27,264.37,201.79,278.92,824675.67,62.17,,,,,,,,,,,,,+,,-,,,,,,1,1
AGYO,02-04-2024,7.95,2.19,-64.21,8.14,8.39,8.72,8.05,8.47,8.29,8.65,7.9,7.95,3497101.33,34.77,,,,,,,,,,,,,-,+,,,,,,,1,1
AVPGY,02-04-2024,46.32,3.35,54.82,45.03,44.57,44.31,45.24,44.47,44.71,43.95,46.02,46.07,5514039.67,55.68,,,,,,,,,,,,,,+,,,,,,,1,0
ADESE,02-04-2024,2.22,0.45,-71.51,2.26,2.32,2.4,2.25,2.33,2.27,2.35,2.15,2.23,33613003.0,28.38,,,,,,,,,,,,,-,,,,-,,,,0,2
AFYON,02-04-2024,12.66,-1.33,-60.77,13.09,13.07,12.98,13.05,13.05,13.27,12.98,11.8,12.8,11216280.0,47.76,,,,,,-,-,,,,,,-,,,-,,,-,,0,4
ALVES,02-04-2024,63.25,-0.16,-76.54,63.02,62.53,60.56,63.02,62.21,63.4,63.23,51.31,63.92,14126298.67,58.57,,,,,,,,,,,,,,,-,-,,,,,0,2
ARTMS,02-04-2024,46.2,-3.91,-49.91,48.29,49.18,49.73,47.92,49.37,48.63,50.79,48.46,47.01,900598.33,46.08,,,,,,,,,,,,,,,,-,-,,,,0,2
