Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
GSDHO,02-04-2024,4.16,5.58,195.27,4.02,4.0,4.01,4.03,4.0,3.99,3.98,3.91,4.12,24584686.67,54.34,+,+,+,+,+,+,+,,+,+,+,-,,+,+,,+,,+,14,1
TDGYO,02-04-2024,12.1,10.0,48.16,11.41,11.3,11.2,11.47,11.27,11.34,11.18,8.58,11.78,4067100.67,59.93,+,+,+,+,,+,,,+,+,+,+,,,,+,+,+,,12,0
YAYLA,02-04-2024,20.02,10.0,72.5,19.02,19.01,19.14,19.08,19.04,18.83,18.85,10.53,19.93,681621.67,55.29,+,+,+,+,,+,,,+,+,,+,,+,,+,,+,+,12,0
ATLAS,02-04-2024,5.75,6.28,160.35,5.54,5.52,5.51,5.56,5.52,5.5,5.52,4.75,5.64,2619589.0,58.5,+,+,+,+,+,+,,,+,+,,+,,+,+,,,+,,12,0
GSDDE,02-04-2024,10.15,9.97,66.75,9.76,9.76,9.78,9.77,9.76,9.77,9.74,8.68,9.85,2875614.33,54.4,+,+,+,+,,+,+,,+,+,,-,,+,,,,+,+,11,1
TURSG,02-04-2024,53.15,4.11,187.39,51.62,51.5,51.48,51.75,51.49,51.27,51.49,36.65,52.77,2920112.67,56.06,,,+,+,+,+,,,,+,,+,,,+,+,,+,,9,0
ETYAT,02-04-2024,15.79,3.54,-2.01,15.43,15.39,15.35,15.46,15.38,15.34,15.38,10.3,15.61,423851.0,56.97,+,+,+,+,+,+,,,,,,+,,,,+,,+,,9,0
SKBNK,02-04-2024,4.37,6.59,245.17,4.23,4.24,4.28,4.23,4.24,4.2,4.24,4.56,4.33,66092151.67,47.47,+,+,+,,,,,,+,+,,-,,+,+,+,+,,,9,1
VAKFN,02-04-2024,2.87,9.96,51.8,2.76,2.78,2.84,2.76,2.79,2.75,2.79,2.8,2.78,24991891.67,44.99,+,+,+,,,,,,+,+,,-,+,+,+,+,,,,9,1
BOBET,02-04-2024,34.6,3.65,51.29,34.39,34.43,34.63,34.39,34.46,34.36,34.4,31.42,35.13,7930680.67,47.45,+,+,,,,,,,+,+,+,-,,-,+,+,+,,,8,2
SEKFK,02-04-2024,17.05,5.51,436.66,16.78,16.97,17.35,16.75,17.05,16.75,17.08,15.39,17.0,1569457.0,44.13,+,+,,,,,,,+,,+,-,,+,+,+,,,+,8,1
BRKO,02-04-2024,4.4,8.91,82.53,4.14,4.12,4.13,4.16,4.12,4.07,4.09,4.16,4.3,1130361.67,58.92,,,+,+,+,+,,,,,,+,+,,,,,+,+,8,0
ARCLK,02-04-2024,152.0,3.12,87.51,149.08,148.88,149.5,149.36,148.95,148.22,148.35,139.74,151.5,4509796.0,51.82,+,+,+,+,,+,,,+,+,,-,,+,,,,,,8,1
KARTN,02-04-2024,154.0,10.0,-64.85,148.24,147.09,144.26,148.56,146.6,148.86,146.09,91.83,151.07,903893.0,59.72,+,+,+,,,,,,+,+,,+,,+,,,,,,7,0
ELITE,02-04-2024,47.58,2.9,156.79,47.06,47.3,47.91,47.04,47.41,47.0,47.49,43.53,48.16,1236343.0,44.95,+,+,,,,,,,+,,,-,,,+,+,+,,+,7,1
ANSGR,02-04-2024,72.2,3.14,7.48,70.53,70.7,71.05,70.6,70.79,70.12,71.06,53.21,71.42,1596025.67,53.33,,+,+,,,,,,,+,,+,,,,+,,+,+,7,0
BRMEN,02-04-2024,6.9,9.52,167.75,6.73,6.77,6.69,6.71,6.77,6.79,6.9,4.06,6.71,225558.67,57.62,+,+,+,,+,,,,+,,,+,,+,,,,,,7,0
PNLSN,02-04-2024,86.85,3.58,65.72,85.28,85.58,86.3,85.35,85.74,84.79,85.79,63.86,85.62,559213.67,51.11,+,+,+,,,,,,+,+,,-,,+,,,,+,,7,1
AKGRT,02-04-2024,6.5,4.67,216.3,6.31,6.26,6.22,6.33,6.25,6.28,6.21,5.39,6.49,28095004.0,59.44,+,,,,,,,,+,+,,+,,,+,+,,,+,7,0
AVTUR,02-04-2024,10.94,9.29,71.6,10.49,10.56,10.64,10.49,10.58,10.43,10.72,7.99,10.64,1167435.33,53.33,+,+,+,,,,,,+,,+,+,,+,,,,,,7,0
PAPIL,02-04-2024,133.0,5.22,83.1,130.0,129.98,130.12,130.07,130.0,130.27,129.97,71.87,131.47,423040.33,53.04,+,+,+,+,,+,,,+,,,-,,,,,,+,,7,1
DAGHL,02-04-2024,18.22,5.07,61.91,17.63,17.53,17.44,17.69,17.51,17.48,17.44,14.0,18.08,550017.0,61.2,,,,+,,,+,+,,+,,+,,+,,,,+,,7,0
MAVI,02-04-2024,73.85,1.93,20.84,73.29,73.54,73.68,73.23,73.6,73.37,74.12,56.19,73.55,3584173.33,51.77,+,+,+,,,,,,+,,,+,,+,,,,,,6,0
ISFIN,02-04-2024,10.76,2.18,94.13,10.57,10.61,10.71,10.58,10.63,10.54,10.65,10.58,10.89,12177527.33,45.0,,+,+,,,,,,,+,,-,+,,+,,,,+,6,1
RNPOL,02-04-2024,38.22,4.65,119.8,37.7,38.04,38.65,37.64,38.17,37.75,38.33,31.8,38.01,448819.33,45.32,+,+,,,,,,,+,,,-,,+,,+,,,+,6,1
AKYHO,02-04-2024,6.87,9.92,22.99,6.4,6.3,6.17,6.45,6.27,6.27,6.25,4.03,6.67,18311590.0,71.35,,,,,,,+,,,+,,+,,,,+,+,+,,6,0
RAYSG,02-04-2024,409.75,1.42,5.53,408.48,405.91,396.99,408.55,404.44,411.26,405.68,194.11,408.67,134926.33,68.31,+,+,,,,,,,+,+,,+,,+,,,,,,6,0
DESA,02-04-2024,23.74,2.24,72.16,23.59,23.56,23.53,23.6,23.55,23.57,23.5,19.36,23.67,979276.33,52.54,+,+,+,,,,,,+,,,-,,+,,,,+,,6,1
DAPGM,02-04-2024,32.7,3.88,10.38,32.58,32.61,32.77,32.57,32.64,32.62,32.41,36.25,32.04,3593682.33,48.58,+,+,,,,,,,+,+,+,-,,+,,,,,,6,1
