Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
TABGD,03-04-2024,134.0,3.24,-44.77,132.3,132.22,132.36,132.76,132.4,132.23,131.82,132.3,138.46,132.2,1929398.33,51.21,+,+,+,+,,,+,+_03-04-2024 09:00:00,-_25-03-2024 09:00:00,,,+,+,,,,+,,-,+,+,-,10,2
DMSAS,03-04-2024,6.06,6.32,39.26,5.86,5.85,5.88,5.9,5.87,5.85,5.82,5.82,5.11,5.92,2443822.67,55.2,+,+,+,+,,,+,+_03-04-2024 09:00:00,-_19-03-2024 09:00:00,+,,+,+,,-,,+,,,,+,,10,1
AYGAZ,03-04-2024,156.5,3.16,-36.59,153.91,153.79,154.26,154.61,154.16,153.86,152.88,153.51,128.44,154.9,608330.33,52.6,+,+,+,+,,,+,+_03-04-2024 09:00:00,-_25-03-2024 09:00:00,,,+,+,,+,,+,,,,+,-,10,1
SKYLP,03-04-2024,148.5,7.61,39.03,142.31,142.64,144.88,148.87,142.62,142.98,141.09,142.64,106.43,144.7,227964.0,48.51,+,+,+,,,,,-_05-03-2024 09:00:00,-_06-03-2024 09:00:00,,,+,+,+,-,,+,,+,,,+,9,1
VESBE,03-04-2024,19.91,3.54,48.46,19.41,19.34,19.33,19.32,19.46,19.34,19.29,19.28,16.47,19.73,14653153.33,57.14,,,+,+,+,+,+,+_03-04-2024 09:00:00,+_03-04-2024 09:00:00,+,,,+,,-,,+,,,,+,,9,1
TTKOM,03-04-2024,31.64,5.47,-27.93,30.66,30.5,30.4,30.46,30.75,30.46,30.54,30.3,25.78,31.08,29671388.0,56.83,+,+,+,,+,+,+,+_03-04-2024 09:00:00,+_03-04-2024 09:00:00,,,+,+,,-,,+,,,,,-,9,2
AVTUR,03-04-2024,11.21,2.47,-21.18,10.73,10.7,10.72,10.68,10.78,10.71,10.55,10.76,8.01,11.11,1253426.0,55.45,,,,+,+,+,+,+_03-04-2024 09:00:00,+_03-04-2024 09:00:00,,-,,+,,+,,,,+,,+,+,9,1
SRVGY,03-04-2024,293.25,9.93,101.56,280.94,282.4,285.84,291.19,281.08,283.07,279.98,284.31,292.1,284.42,151850.33,49.32,+,+,+,,,,,-_26-03-2024 09:00:00,-_01-02-2024 09:00:00,,,+,+,,-,+,+,+,+,,,,9,1
JANTS,03-04-2024,315.25,9.94,26.13,309.39,308.56,299.09,280.11,308.44,307.2,315.54,311.99,164.26,303.0,2102588.33,62.33,+,+,+,+,,,+,+_03-04-2024 09:00:00,+_25-01-2024 09:00:00,,,+,,,+,,+,,,,,,8,0
BIGCH,03-04-2024,30.3,9.94,76.0,27.82,27.72,28.19,28.92,28.06,27.78,26.99,27.61,29.71,29.13,2101173.67,53.59,,,+,+,,,+,+_03-04-2024 09:00:00,-_14-03-2024 09:00:00,,,,+,,-,+,,+,,,,+,7,1
