Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
SANEL,05-03-2024,31.64,9.94,289.66,29.9,29.71,29.67,30.05,29.69,29.55,29.55,23.22,30.49,305541.0,60.81,+,+,+,+,+,+,+,,+,+,,-,,,+,+,+,+,+,14,1
PENTA,05-03-2024,22.68,9.99,60.64,21.53,21.4,21.27,21.62,21.37,21.41,21.28,22.7,22.11,10662370.67,60.48,+,+,+,+,+,+,,,+,+,+,+,,+,,+,,+,,13,0
CASA,05-03-2024,107.8,9.94,71.88,101.52,101.1,100.9,101.98,101.06,100.44,101.01,117.77,105.27,72199.67,61.17,+,+,+,+,+,+,,,+,+,+,+,,,,+,,+,+,13,0
IDGYO,05-03-2024,6.6,10.0,178.0,6.28,6.27,6.23,6.29,6.26,6.21,6.32,5.17,6.37,1011419.67,62.66,+,+,+,+,+,+,,,+,+,,+,,+,+,+,,,,12,0
BIGCH,05-03-2024,33.26,5.59,78.47,32.12,31.97,31.82,32.23,31.94,31.85,31.88,29.72,32.85,1793940.0,61.55,+,+,+,+,+,+,,,+,+,,,,+,+,,,+,,11,0
AGYO,05-03-2024,10.48,7.27,189.88,10.13,10.08,10.0,10.15,10.07,10.1,10.11,7.72,10.34,5560364.33,57.82,+,+,+,+,,+,,,+,,,+,,+,+,,+,+,,11,0
BOSSA,05-03-2024,11.97,5.37,126.93,11.6,11.53,11.43,11.63,11.52,11.52,11.53,9.46,11.84,2406795.0,65.25,+,+,,+,,+,,,+,+,,+,,+,+,,,+,,10,0
ANGEN,05-03-2024,13.94,2.95,59.99,13.71,13.73,13.78,13.72,13.74,13.65,13.77,14.18,13.92,5947600.67,53.07,+,+,+,,,,,,+,+,+,+,,+,+,,,+,,10,0
ETILR,05-03-2024,18.32,9.96,92.31,17.48,17.34,17.06,17.53,17.29,17.5,17.31,14.5,17.77,2883750.0,64.75,+,+,+,+,,+,,,+,+,,+,,+,,,+,,,10,0
TUPRS,05-03-2024,165.1,2.29,75.71,163.35,163.26,162.83,163.47,163.23,162.75,163.71,130.43,164.33,28353417.33,58.68,+,+,+,+,,+,,,+,+,,+,,+,,,,,,9,0
EUKYO,05-03-2024,23.1,10.0,28.69,22.32,22.23,21.72,22.32,22.15,22.34,22.56,12.63,22.24,771357.0,60.78,+,+,+,+,,+,,,+,+,,+,,+,,,,,,9,0
TDGYO,05-03-2024,11.62,9.93,63.1,11.07,11.11,11.07,11.08,11.12,10.98,11.36,8.1,11.21,6036729.0,58.67,+,+,+,,+,,,-,+,+,,+,,+,,+,,,,9,1
ADEL,05-03-2024,568.0,9.97,298.32,546.62,547.6,545.11,546.77,547.63,546.19,552.13,379.71,550.17,408799.33,62.96,+,+,+,,+,,,,+,+,,+,,+,+,,,,,9,0
ULUSE,05-03-2024,185.2,9.98,248.49,173.18,171.04,168.73,174.43,170.53,170.72,169.7,160.06,178.8,332653.33,68.07,,,,,,,+,,,+,,+,,+,+,+,+,+,,8,0
FMIZP,05-03-2024,346.0,4.3,73.56,342.22,343.67,344.02,341.78,343.97,343.26,346.23,261.5,344.58,237467.33,53.19,+,+,+,,,,,,+,,+,+,,+,,,,,+,8,0
GOLTS,05-03-2024,331.0,7.99,214.79,317.38,314.38,309.34,318.51,313.37,316.82,312.36,238.04,323.75,662172.0,65.97,+,+,,,,,,,+,+,,+,,+,+,,,+,,8,0
DOAS,05-03-2024,275.0,2.8,22.71,269.55,269.56,270.1,269.9,269.69,268.29,269.86,232.26,274.0,3556519.33,55.98,,+,+,,,+,,,,+,,+,,+,,+,,+,,8,0
ATLAS,05-03-2024,5.48,3.4,52.4,5.35,5.35,5.31,5.36,5.34,5.34,5.38,4.6,5.47,1651708.0,61.9,,+,,+,,+,,,,+,+,+,,,,+,,,,7,0
ULAS,05-03-2024,24.26,9.97,82.75,23.56,23.78,24.1,23.51,23.86,23.64,24.01,17.68,22.84,619999.33,51.61,+,+,+,,,,,,+,+,,-,,+,,,,+,,7,1
BFREN,05-03-2024,1225.0,6.52,100.67,1213.58,1198.21,1165.86,1215.58,1191.87,1220.36,1181.91,774.78,1211.0,684411.67,60.01,+,+,+,,,,,,+,+,,+,,+,,,,,,7,0
TOASO,05-03-2024,262.75,3.04,142.69,261.84,262.42,261.83,261.45,262.43,263.22,263.46,235.69,262.0,4238616.33,55.06,+,+,+,,+,,-,,+,,,+,,+,,,,,,7,1
BURVA,05-03-2024,135.8,5.03,1.8,134.9,134.73,133.3,134.73,134.53,136.22,134.53,78.65,132.23,170390.0,57.51,+,+,+,,,+,,,+,,,+,,+,,,,,,7,0
