Tarih,Hisse,open,high,low,close,volume,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,DMP_14,DMN_14,rsi,sma14,Rsi/Sma,TK,KJ,SPA,SPB,CS,PP,R1,S1,R2,S2,VolMov,FISHERT_9_1,FISHERTs_9_1,FSignal,%Deg,%Vol,S_Ort5UA,S_Ort8UA,S_Ort13UA,Kes_5_8,Kes_5_13,Kes_5_21,S_OrtKes,S_W_OrtKes,S_TkKjKes,S_OrtUA,S_TKUA,S_SPBUA,S_CSPUA,S_200UA,S_PPUA,S_VolUA,Macd_K,Rsi_K,DI_K,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,EMA_4,WMA_4,HMA_4,EMA_5,WMA_5,HMA_5,EMA_8,WMA_8,HMA_8,EMA_9,WMA_9,HMA_9,EMA_13,WMA_13,HMA_13,EMA_15,WMA_15,HMA_15,EMA_21,WMA_21,HMA_21,EMA_34,WMA_34,HMA_34,EMA_55,WMA_55,HMA_55,EMA_89,WMA_89,HMA_89,EMA_100,WMA_100,HMA_100,EMA_200,WMA_200,HMA_200,EMA_4x9,WMA_4x9,HMA_4x9,EMA_5x21,WMA_5x21,HMA_5x21,EMA_9x15,WMA_9x15,HMA_9x15,RSI,position,Entry,Exit,EMA_4x9_Tarih,EMA_4x9_Id,EMA_4x9_Close,EMA_4x9_High,EMA_4x9_Degisim(%),EMA_4x9_EnYuksekDegisim(%),EMA_4x9_kacgunOnce,WMA_4x9_Tarih,WMA_4x9_Id,WMA_4x9_Close,WMA_4x9_High,WMA_4x9_Degisim(%),WMA_4x9_EnYuksekDegisim(%),WMA_4x9_kacgunOnce,HMA_4x9_Tarih,HMA_4x9_Id,HMA_4x9_Close,HMA_4x9_High,HMA_4x9_Degisim(%),HMA_4x9_EnYuksekDegisim(%),HMA_4x9_kacgunOnce,EMA_5x21_Tarih,EMA_5x21_Id,EMA_5x21_Close,EMA_5x21_High,EMA_5x21_Degisim(%),EMA_5x21_EnYuksekDegisim(%),EMA_5x21_kacgunOnce,WMA_5x21_Tarih,WMA_5x21_Id,WMA_5x21_Close,WMA_5x21_High,WMA_5x21_Degisim(%),WMA_5x21_EnYuksekDegisim(%),WMA_5x21_kacgunOnce,HMA_5x21_Tarih,HMA_5x21_Id,HMA_5x21_Close,HMA_5x21_High,HMA_5x21_Degisim(%),HMA_5x21_EnYuksekDegisim(%),HMA_5x21_kacgunOnce,EMA_9x15_Tarih,EMA_9x15_Id,EMA_9x15_Close,EMA_9x15_High,EMA_9x15_Degisim(%),EMA_9x15_EnYuksekDegisim(%),EMA_9x15_kacgunOnce,WMA_9x15_Tarih,WMA_9x15_Id,WMA_9x15_Close,WMA_9x15_High,WMA_9x15_Degisim(%),WMA_9x15_EnYuksekDegisim(%),WMA_9x15_kacgunOnce,HMA_9x15_Tarih,HMA_9x15_Id,HMA_9x15_Close,HMA_9x15_High,HMA_9x15_Degisim(%),HMA_9x15_EnYuksekDegisim(%),HMA_9x15_kacgunOnce,A,S,Ort_Sira,Ort_Destek_Direnc,rsi_uyumsuzluk
07-05-2024,BAKAB,55.45,56.9,54.8,56.6,152792.0,55.3,54.59,53.41,51.75,55.56,54.36,54.74,54.31,38.97,2.72,0.28,2.44,37.7,24.32,8.03,67.28,68.48,-,54.7,49.12,46.23,46.29,43.64,56.1,57.4,55.3,58.2,54.0,394386.67,1.37,1.08,0,2.07,-68.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,,,,+,,+,,,,,,55.56,55.91,56.56,55.3,55.56,56.88,54.59,54.85,56.58,54.36,54.74,56.29,53.41,54.51,55.38,52.96,54.31,55.21,51.75,53.22,55.92,49.87,50.61,56.79,47.91,48.73,53.45,45.85,47.15,50.64,45.34,46.61,,,,,,,,,,,,,,67.29,0,False,False,+_08-04-2024 09:00,84,47.200001,57.549999,19.92,21.93,16,+_03-05-2024 09:00,98,56.599998,57.549999,0.0,1.68,2,+_30-04-2024 09:00,96,52.450001,57.549999,7.91,9.72,4,+_08-04-2024 09:00,84,47.200001,57.549999,19.92,21.93,16,+_08-04-2024 09:00,84,47.200001,57.549999,19.92,21.93,16,+_06-05-2024 09:00,99,55.450001,57.549999,2.07,3.79,1,+_09-04-2024 09:00,85,48.599998,57.549999,16.46,18.42,15,+_08-04-2024 09:00,84,47.200001,57.549999,19.92,21.93,16,+_06-05-2024 09:00,99,55.450001,57.549999,2.07,3.79,1,2,0,100_89_55_34_21_13_8_5 < BIST:BAKAB:56.6,45.34_45.85_47.91_49.87_51.75_53.41_54.59_55.3 < BIST:BAKAB:56.6,
07-05-2024,ADEL,763.5,787.0,752.0,753.0,295798.0,750.21,744.34,733.55,717.4,751.68,742.18,750.31,739.42,482.79,28.19,1.03,27.16,46.92,27.9,7.57,57.85,57.44,+,760.5,712.0,676.62,566.0,761.5,764.0,776.0,741.0,799.0,729.0,382042.0,1.26,1.21,1,-0.79,-34.56,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,,,,,,,,+_08-04-2024 09:00:00,+_05-04-2024 09:00:00,,,,-,,-,,-,-,+,,,,751.68,752.0,757.61,750.21,751.33,757.27,744.34,751.9,751.85,742.18,750.31,754.48,733.55,742.43,764.94,729.4,739.42,766.21,717.4,729.86,763.23,691.33,711.83,755.5,650.53,688.4,739.59,599.11,635.84,760.95,586.33,617.38,,,,,,,+,,,,,,,57.86,0,False,False,+_08-04-2024 09:00,84,701.5,821.0,7.34,17.03,16,+_26-04-2024 09:00,94,737.5,821.0,2.1,11.32,6,+_07-05-2024 09:00,100,753.0,787.0,0.0,4.52,0,+_05-04-2024 09:00,83,681.5,821.0,10.49,20.47,17,+_09-04-2024 09:00,85,698.0,821.0,7.88,17.62,15,-_03-05-2024 09:00,98,743.0,787.0,1.35,5.92,2,+_08-04-2024 09:00,84,701.5,821.0,7.34,17.03,16,+_09-04-2024 09:00,85,698.0,821.0,7.88,17.62,15,-_06-05-2024 09:00,99,759.0,787.0,-0.79,3.69,1,1,4,100_89_55_34_21_13_8_5 < BIST:ADEL:753.0,586.33_599.11_650.53_691.33_717.4_733.55_744.34_750.21 < BIST:ADEL:753.0,
07-05-2024,ATATP,157.9,157.9,147.0,148.3,1213491.0,149.8,148.83,145.56,140.39,149.94,148.29,149.63,149.85,94.78,8.18,0.55,7.63,33.67,29.39,12.78,57.18,64.21,-,155.55,134.45,123.82,137.7,115.2,151.07,155.13,144.23,161.97,140.17,1513687.67,-0.29,-0.16,0,-6.44,-45.22,2,2,0,0,0,0,0,2,0,2,2,0,1,0,2,2,0,0,0,-,-,,,,,,+_08-04-2024 09:00:00,+_09-04-2024 09:00:00,-,,-,-,,+,,-,-,,,,,149.94,150.11,154.71,149.8,149.33,155.34,148.83,149.31,150.52,148.29,149.63,148.53,145.56,150.44,147.5,144.12,149.85,148.73,140.39,145.61,156.33,135.62,135.6,160.9,132.06,131.1,144.39,128.61,131.69,127.96,127.71,130.93,,,,,,+,,,,,,-,,57.18,0,False,False,+_08-04-2024 09:00,84,120.7,169.3,22.87,40.27,16,+_07-05-2024 09:00,100,148.3,157.9,0.0,6.47,0,+_06-05-2024 09:00,99,158.5,158.5,-6.44,0.0,1,+_09-04-2024 09:00,85,126.7,169.3,17.05,33.62,15,+_08-04-2024 09:00,84,120.7,169.3,22.87,40.27,16,-_26-04-2024 09:00,94,152.7,163.0,-2.88,6.75,6,+_09-04-2024 09:00,85,126.7,169.3,17.05,33.62,15,-_07-05-2024 09:00,100,148.3,157.9,0.0,6.47,0,-_25-04-2024 09:00,93,153.0,169.3,-3.07,10.65,7,1,7,100_89_55_34_21_13 < BIST:ATATP:148.3 < 8_5,127.71_128.61_132.06_135.62_140.39_145.56 < BIST:ATATP:148.3 < 148.83_149.8,
07-05-2024,ANELE,21.2,21.6,20.42,20.8,2591770.0,21.43,21.37,21.09,20.54,21.41,21.32,21.51,21.33,12.91,0.98,-0.1,1.08,51.49,28.56,20.51,53.38,60.5,-,21.88,20.62,17.0,15.5,18.84,20.94,21.46,20.28,22.12,19.76,5749851.0,0.61,0.95,2,-2.99,-69.37,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,,-,,,,,+_08-04-2024 09:00:00,+_28-12-2023 09:00:00,,,,,,+,,,-,-,,,,21.41,21.55,21.05,21.43,21.58,21.07,21.37,21.54,21.79,21.32,21.51,22.0,21.09,21.37,21.98,20.96,21.33,21.96,20.54,21.11,21.91,19.62,20.42,22.17,18.3,19.31,22.04,16.7,17.79,21.54,16.29,17.33,,,,,,,-,,,-,,,,53.38,0,False,False,+_08-04-2024 09:00,84,20.059999,24.0,3.69,19.64,16,+_26-04-2024 09:00,94,21.559999,24.0,-3.53,11.32,6,-_07-05-2024 09:00,100,20.8,21.6,0.0,3.85,0,,,,,,,,+_08-04-2024 09:00,84,20.059999,24.0,3.69,19.64,16,-_07-05-2024 09:00,100,20.8,21.6,0.0,3.85,0,,,,,,,,+_08-04-2024 09:00,84,20.059999,24.0,3.69,19.64,16,+_29-04-2024 09:00,95,21.02,24.0,-1.05,14.18,5,1,3,100_89_55_34_21 < BIST:ANELE:20.8 < 13_8_5,16.29_16.7_18.3_19.62_20.54 < BIST:ANELE:20.8 < 21.09_21.37_21.43,
07-05-2024,ANGEN,14.4,14.45,14.12,14.19,1161923.0,14.07,13.96,13.82,13.66,14.11,13.93,13.96,13.9,13.78,0.25,0.06,0.19,18.44,28.11,17.35,58.97,57.82,+,14.0,13.37,13.3,13.68,12.6,14.25,14.39,14.06,14.58,13.92,3251696.33,0.42,0.12,0,-1.73,-74.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,,,,,,,+_03-05-2024 09:00:00,+_08-04-2024 09:00:00,,,,,,+,,,-,,,,,14.11,14.2,14.45,14.07,14.11,14.55,13.96,13.97,14.36,13.93,13.96,14.25,13.82,13.92,14.01,13.78,13.9,13.98,13.66,13.81,14.01,13.53,13.51,14.16,13.46,13.39,13.71,13.42,13.45,13.22,13.41,13.43,,,,,,,,,,,,,,58.98,0,False,False,+_03-05-2024 09:00,98,14.21,14.72,-0.14,3.59,2,+_06-05-2024 09:00,99,14.44,14.72,-1.73,1.94,1,+_03-05-2024 09:00,98,14.21,14.72,-0.14,3.59,2,+_08-04-2024 09:00,84,13.83,14.72,2.6,6.44,16,+_03-05-2024 09:00,98,14.21,14.72,-0.14,3.59,2,+_03-05-2024 09:00,98,14.21,14.72,-0.14,3.59,2,+_08-04-2024 09:00,84,13.83,14.72,2.6,6.44,16,+_03-05-2024 09:00,98,14.21,14.72,-0.14,3.59,2,+_06-05-2024 09:00,99,14.44,14.72,-1.73,1.94,1,1,1,100_89_55_34_21_13_8_5 < BIST:ANGEN:14.19,13.41_13.42_13.46_13.53_13.66_13.82_13.96_14.07 < BIST:ANGEN:14.19,
07-05-2024,ARSAN,18.02,18.99,18.02,18.92,1487455.0,18.21,17.73,17.07,16.31,18.39,17.59,17.88,17.36,12.25,1.23,0.29,0.94,51.68,29.12,5.17,71.39,67.2,+,17.45,15.84,13.69,12.98,13.24,18.64,19.27,18.3,19.61,17.67,3913060.67,2.93,2.69,0,1.61,-72.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,+_09-04-2024 09:00:00,+_09-04-2024 09:00:00,,,,,,+,,,,,,,,18.39,18.63,18.89,18.21,18.48,19.04,17.73,18.02,19.13,17.59,17.88,19.08,17.07,17.54,18.75,16.85,17.36,18.64,16.31,16.75,18.48,15.52,15.81,17.95,14.7,15.09,16.68,13.83,14.38,15.77,13.61,14.13,,,,,,,-,,,,,,,71.4,0,False,False,+_09-04-2024 09:00,85,13.65,19.299999,38.61,41.39,15,+_30-04-2024 09:00,96,16.84,19.299999,12.35,14.61,4,-_07-05-2024 09:00,100,18.92,18.99,0.0,0.37,0,+_09-04-2024 09:00,85,13.65,19.299999,38.61,41.39,15,+_09-04-2024 09:00,85,13.65,19.299999,38.61,41.39,15,+_02-05-2024 09:00,97,18.52,19.299999,2.16,4.21,3,+_15-04-2024 09:00,86,14.34,19.299999,31.94,34.59,14,+_15-04-2024 09:00,86,14.34,19.299999,31.94,34.59,14,+_03-05-2024 09:00,98,18.1,19.299999,4.53,6.63,2,1,0,100_89_55_34_21_13_8_5 < BIST:ARSAN:18.92,13.61_13.83_14.7_15.52_16.31_17.07_17.73_18.21 < BIST:ARSAN:18.92,
07-05-2024,ALARK,117.1,117.8,115.8,116.4,2943393.0,117.17,118.07,120.06,122.39,117.01,118.47,116.95,118.28,108.2,-3.49,-1.02,-2.47,24.19,16.61,25.96,38.86,41.51,-,117.15,129.75,128.75,116.33,130.3,116.67,117.53,115.53,118.67,114.67,5918788.33,-0.64,-0.96,0,-0.6,-52.91,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,,,,-_19-04-2024 09:00:00,-_19-04-2024 09:00:00,,,,,,-,,,-,,,,,117.01,117.11,116.42,117.17,117.19,116.4,118.07,117.06,117.46,118.47,116.95,117.81,120.06,117.3,116.8,120.78,118.28,115.43,122.39,121.5,111.52,123.61,124.47,116.51,122.15,126.18,122.57,117.69,123.62,129.91,116.28,121.88,,,,,,,,,,,,,,38.87,0,False,False,-_19-04-2024 09:00,90,119.2,122.0,-2.35,2.35,10,+_02-05-2024 09:00,97,119.0,120.2,-2.18,1.01,3,-_06-05-2024 09:00,99,117.1,118.8,-0.6,1.45,1,-_19-04-2024 09:00,90,119.2,122.0,-2.35,2.35,10,-_19-04-2024 09:00,90,119.2,122.0,-2.35,2.35,10,+_29-04-2024 09:00,95,116.4,120.2,0.0,3.26,5,-_22-04-2024 09:00,91,114.7,120.2,1.48,4.8,9,-_22-04-2024 09:00,91,114.7,120.2,1.48,4.8,9,+_29-04-2024 09:00,95,116.4,120.2,0.0,3.26,5,0,2,100 < BIST:ALARK:116.4 < 5_89_8_13_55_21_34,116.28 < BIST:ALARK:116.4 < 117.17_117.69_118.07_120.06_122.15_122.39_123.61,
07-05-2024,BIZIM,40.8,40.8,39.76,39.84,195726.0,39.97,39.92,40.09,40.62,40.01,39.94,39.88,39.67,39.2,-0.9,0.19,-1.09,14.49,26.42,18.93,45.09,41.17,+,39.47,41.48,46.45,44.93,44.3,40.13,40.51,39.47,41.17,39.09,709518.33,0.63,0.13,0,-2.5,-80.01,2,2,2,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,-,-,-,,,,,+_06-05-2024 09:00:00,-_25-03-2024 09:00:00,,,-,,,-,,-,-,,,,,40.01,40.06,40.45,39.97,40.06,40.47,39.92,39.94,40.27,39.94,39.88,40.29,40.09,39.65,40.34,40.21,39.67,40.16,40.62,40.02,39.28,41.35,40.7,38.85,41.79,42.08,38.55,41.57,42.67,40.79,41.42,42.52,,,,,,,,,,,,,,45.1,0,False,False,+_06-05-2024 09:00,99,40.860001,41.080002,-2.5,0.54,1,+_29-04-2024 09:00,95,39.34,41.66,1.27,5.9,5,+_06-05-2024 09:00,99,40.860001,41.080002,-2.5,0.54,1,-_25-03-2024 09:00,74,44.48,45.68,-10.43,2.7,26,+_06-05-2024 09:00,99,40.860001,41.080002,-2.5,0.54,1,+_26-04-2024 09:00,94,39.259998,41.66,1.48,6.11,6,-_22-03-2024 09:00,73,44.900002,46.900002,-11.27,4.45,27,+_06-05-2024 09:00,99,40.860001,41.080002,-2.5,0.54,1,+_25-04-2024 09:00,93,39.18,41.66,1.68,6.33,7,0,7,BIST:BIZIM:39.84 < 8_5_13_21_34_100_89_55,BIST:BIZIM:39.84 < 39.92_39.97_40.09_40.62_41.35_41.42_41.57_41.79,
07-05-2024,BJKAS,31.26,31.26,31.26,31.26,537778.0,39.6,45.63,52.24,57.45,37.35,47.28,42.54,52.73,47.91,-7.91,-4.91,-3.0,35.1,19.29,58.16,23.97,47.04,-,51.83,60.5,72.38,62.25,64.4,31.26,31.26,31.26,31.26,31.26,669633.0,-3.17,-2.74,0,-9.97,-22.63,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,,,,-_25-04-2024 09:00:00,-_26-04-2024 09:00:00,,,,,,-,,,-,,,,,37.35,34.92,31.01,39.6,36.27,29.6,45.63,40.84,30.06,47.28,42.54,29.36,52.24,49.77,28.28,53.98,52.73,28.86,57.45,58.13,37.66,60.57,60.84,56.76,61.18,63.71,61.85,59.67,62.72,68.23,59.11,61.76,,,,,,,,,,,,,+,23.97,0,False,False,-_25-04-2024 09:00,93,65.199997,67.099998,-52.06,2.91,7,-_24-04-2024 09:00,92,72.400002,72.400002,-56.82,0.0,8,+_02-05-2024 09:00,97,42.84,42.84,-27.03,0.0,3,-_26-04-2024 09:00,94,58.700001,58.700001,-46.75,0.0,6,-_26-04-2024 09:00,94,58.700001,58.700001,-46.75,0.0,6,-_22-04-2024 09:00,91,80.400002,89.650002,-61.12,11.5,9,-_29-04-2024 09:00,95,52.849998,52.849998,-40.85,0.0,5,-_26-04-2024 09:00,94,58.700001,58.700001,-46.75,0.0,6,+_07-05-2024 09:00,100,31.26,31.26,0.0,0.0,0,0,2,BIST:BJKAS:31.26 < 5_8_13_21_100_89_34_55,BIST:BJKAS:31.26 < 39.6_45.63_52.24_57.45_59.11_59.67_60.57_61.18,
07-05-2024,BRLSM,22.06,22.4,21.72,21.9,2355232.0,23.12,23.97,24.81,25.56,22.78,24.18,23.78,24.91,24.73,-1.21,-0.53,-0.68,18.93,15.25,36.51,27.99,43.09,-,25.21,25.36,29.1,31.85,26.62,22.01,22.29,21.61,22.69,21.33,5451611.0,-1.7,-1.2,0,-0.73,-57.41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,,,,,,-_30-04-2024 09:00:00,-_30-04-2024 09:00:00,,,,,,-,,,-,,,,,22.78,22.33,21.72,23.12,22.53,21.48,23.97,23.49,21.26,24.18,23.78,21.19,24.81,24.63,21.7,25.04,24.91,22.13,25.56,25.44,23.69,26.3,25.86,25.38,26.88,26.58,25.47,26.98,27.8,25.22,26.92,27.79,,,,,,,,,,,,,,27.99,0,False,False,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,+_06-05-2024 09:00,99,22.059999,23.219999,-0.73,5.26,1,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,-_29-04-2024 09:00,95,26.879999,28.0,-18.53,4.17,5,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,-_30-04-2024 09:00,96,24.200001,25.040001,-9.5,3.47,4,0,2,BIST:BRLSM:21.9 < 5_8_13_21_34_55_100_89,BIST:BRLSM:21.9 < 23.12_23.97_24.81_25.56_26.3_26.88_26.92_26.98,
