Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
SUWEN,06-05-2024,23.2,16.41,262.54,21.3,21.14,21.08,21.0,21.43,21.12,20.96,21.12,15.8,22.06,9878576.33,57.7,+,+,+,+,+,+,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,+,+,,,,,+,+,,+,,12,0
MAKIM,06-05-2024,29.1,10.23,194.27,27.31,27.04,26.84,26.41,27.5,27.0,26.68,27.03,17.93,28.85,6668325.67,59.05,+,+,+,+,+,,+,+_06-05-2024 09:00:00,+_22-04-2024 09:00:00,,,+,+,,,,+,+,,,+,,11,0
EUHOL,06-05-2024,3.44,8.18,70.83,3.29,3.29,3.27,3.21,3.3,3.28,3.26,3.31,1.99,3.38,63811147.0,56.26,+,+,+,+,+,,+,+_06-05-2024 09:00:00,+_26-06-2023 09:00:00,,,+,,,+,,+,,+,,,,10,0
PEGYO,06-05-2024,23.0,13.19,10.65,22.22,22.14,21.74,20.57,22.24,22.09,22.21,22.16,7.53,22.09,27627858.0,59.55,+,+,+,+,,,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,+,,+,+,,+,,+,,,,,,10,0
DENGE,06-05-2024,3.75,25.42,70.82,3.12,3.02,2.94,2.86,3.18,3.0,2.97,2.97,2.16,3.63,171986091.67,66.2,,,,+,+,,+,+_06-05-2024 09:00:00,+_29-04-2024 09:00:00,+,,,,,+,,,+,+,+,+,,9,0
SEGYO,06-05-2024,5.31,19.59,186.68,4.78,4.83,5.03,5.15,4.82,4.87,4.61,4.83,3.45,5.01,78212681.33,51.67,+,+,+,,,,,-_19-02-2024 09:00:00,-_11-03-2024 09:00:00,,,+,+,,,,+,+,,,+,+,9,0
GOODY,06-05-2024,22.96,4.84,97.62,21.8,21.63,21.55,21.54,21.94,21.6,21.36,21.67,14.51,22.51,7534480.0,55.34,,,,+,+,+,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,,+,,+,,,+,,+,,,8,0
OZRDN,06-05-2024,60.6,6.32,26.01,59.35,59.3,58.44,55.72,59.36,59.21,59.08,59.97,22.91,59.37,1804735.0,59.5,+,+,+,+,,,+,+_06-05-2024 09:00:00,+_08-05-2023 09:00:00,,,+,,,+,,+,,,,,,8,0
ADESE,06-05-2024,2.45,4.26,102.66,2.4,2.42,2.42,2.38,2.39,2.42,2.37,2.47,1.73,2.41,401727487.33,54.14,+,+,+,,,+,,-_25-03-2024 09:00:00,+_06-05-2024 09:00:00,,,+,,,+,,,+,,,,+,8,0
MANAS,06-05-2024,10.45,7.62,31.08,10.09,9.98,9.83,9.67,10.14,9.95,9.96,9.96,7.12,10.23,23472331.0,55.97,+,+,+,,,,,+_15-04-2024 09:00:00,+_12-02-2024 09:00:00,+,,+,+,,,,+,,,,+,,8,0
BYDNR,06-05-2024,30.94,4.03,9.62,30.22,30.26,30.44,30.84,30.27,30.29,29.83,30.59,32.99,30.48,7166217.67,49.45,+,+,+,,,,,-_18-03-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,,,+,,,,,+,7,0
KUYAS,06-05-2024,56.05,12.55,133.58,51.36,50.87,51.73,53.1,51.92,50.95,49.54,49.94,26.55,53.44,7817304.33,53.05,,,+,+,,,+,+_06-05-2024 09:00:00,-_05-02-2024 09:00:00,,,,+,,-,,+,+,,,,+,7,1
OYLUM,06-05-2024,13.05,14.57,125.79,11.72,11.44,11.08,10.54,11.87,11.37,11.38,11.34,4.95,12.34,18813400.67,67.57,,,,,,,,+_15-01-2024 09:00:00,+_02-01-2024 09:00:00,+,,,+,,+,,,+,+,+,+,,7,0
PKENT,06-05-2024,366.5,8.59,173.18,349.78,344.66,333.71,312.79,351.7,342.74,345.68,344.9,151.55,363.33,1634757.0,62.3,+,+,,,,,,+_30-10-2023 09:00:00,+_10-07-2023 09:00:00,,,+,+,,+,,+,+,,,,,7,0
PRDGS,06-05-2024,7.42,8.01,179.7,6.96,6.92,6.94,7.02,7.01,6.92,6.81,6.91,6.78,7.23,16898031.0,54.58,,,,+,+,,+,+_06-05-2024 09:00:00,-_11-03-2024 09:00:00,,-,,+,,,,,,,+,+,+,7,1
INVES,06-05-2024,347.0,7.51,113.87,337.03,341.23,345.45,344.83,336.11,342.44,336.58,350.04,197.81,342.42,581449.67,51.48,+,+,+,,,,,-_25-03-2024 09:00:00,-_15-04-2024 09:00:00,,,+,,,,,,+,+,,,+,7,0
GMTAS,06-05-2024,8.43,7.12,62.04,8.16,8.19,8.27,8.44,8.16,8.21,8.11,8.28,6.59,8.25,6229832.33,48.54,+,+,+,,,,,-_25-03-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,,,+,,+,,,,7,0
MEKAG,06-05-2024,68.5,8.82,105.24,64.62,64.87,65.74,66.43,64.83,65.05,63.54,65.49,66.44,67.08,9354191.67,51.6,,+,+,,,,,-_11-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,+,,,+,,+,,,+,,6,0
PCILT,06-05-2024,14.35,1.41,-25.76,13.8,13.77,13.79,13.69,13.87,13.77,13.49,13.86,9.42,14.24,11982980.0,53.37,,,,+,+,+,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,-,,+,,,,,,,,+,,6,1
LOGO,06-05-2024,93.0,5.56,61.17,89.16,88.71,88.21,86.59,89.6,88.64,87.35,89.26,53.64,90.87,4744351.67,56.53,,,,+,+,,+,+_06-05-2024 09:00:00,+_22-04-2024 09:00:00,,,,+,,+,,+,,,,,,6,0
SOKM,06-05-2024,64.7,4.86,-8.2,62.07,62.2,62.36,61.72,62.18,62.27,61.55,62.96,32.54,63.27,51509245.67,55.2,,,+,,,+,,-_25-03-2024 09:00:00,+_06-05-2024 09:00:00,,,,+,,+,,,,+,,,+,6,0
CATES,06-05-2024,61.4,6.78,162.18,59.23,59.86,60.98,61.81,59.25,60.12,58.36,61.03,62.42,61.47,17892059.67,49.31,+,+,+,,,,,-_06-05-2024 09:00:00,-_25-03-2024 09:00:00,,,+,+,,,,,+,,,,,6,0
PNLSN,06-05-2024,86.5,6.46,115.66,84.86,84.57,82.68,78.57,84.82,84.31,85.05,85.55,42.13,84.63,2182701.0,61.23,+,+,+,,,,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,+,,,,,+,,,,,,6,0
EKSUN,06-05-2024,66.05,7.57,-17.67,64.35,64.61,65.28,66.38,64.39,64.74,63.76,65.24,69.41,63.95,3423248.0,48.66,+,+,+,,,,,-_11-03-2024 09:00:00,-_11-03-2024 09:00:00,,-,+,+,,,,+,,,,,,6,1
ALCTL,06-05-2024,126.8,8.75,110.37,119.78,118.67,116.67,113.04,120.42,118.32,118.0,119.35,62.4,123.1,2779219.0,61.17,,,,+,,,+,+_06-05-2024 09:00:00,+_22-01-2024 09:00:00,,,,+,,+,,+,,,,+,,6,0
EREGL,06-05-2024,46.84,6.02,66.49,44.28,43.93,43.74,43.38,44.57,43.88,43.46,43.84,29.97,46.06,456912057.67,60.65,,,,+,+,+,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,+,,,,,,+,,6,0
TOASO,06-05-2024,272.75,2.15,25.36,269.5,268.33,265.53,261.63,269.8,267.81,269.42,268.93,147.78,272.25,28248315.0,56.89,+,+,,,,,,+_22-01-2024 09:00:00,+_05-02-2024 09:00:00,,,+,+,,+,,+,,,,,,6,0
PAGYO,06-05-2024,42.6,5.76,-19.09,40.47,40.13,39.8,39.25,40.7,40.06,39.9,40.02,22.28,41.8,1909409.67,60.31,,,,+,,,,+_29-04-2024 09:00:00,+_08-01-2024 09:00:00,,,,+,,+,,+,,,,+,,5,0
SANEL,06-05-2024,34.6,15.18,288.01,30.99,30.18,29.34,28.09,31.44,29.99,29.98,29.48,14.18,32.97,3483796.67,66.92,,,,,,,,+_15-04-2024 09:00:00,+_27-11-2023 09:00:00,+,,,+,,+,,,+,,+,,,5,0
TETMT,06-05-2024,12197.5,8.42,35.72,12057.14,11876.06,11087.95,9640.87,12041.36,11750.6,12223.72,12064.52,2218.11,11969.17,9150.0,65.73,+,+,,,,,,+_12-06-2023 09:00:00,+_26-06-2023 09:00:00,,,+,,,+,,+,,,,,,5,0
FZLGY,06-05-2024,12.85,3.46,172.06,12.5,12.61,12.9,13.33,12.51,12.66,12.31,12.77,14.68,12.86,24706404.67,45.69,,+,,,,,,-_11-03-2024 09:00:00,-_11-03-2024 09:00:00,,,,+,,,,-,+,+,,,+,5,1
TUCLK,06-05-2024,14.57,12.25,147.46,13.01,12.75,12.59,12.38,13.19,12.71,12.58,12.63,5.94,14.2,34622196.33,62.48,,,,+,+,,,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,+,,,,+,,,+,,,,,5,0
YGGYO,06-05-2024,49.6,9.2,58.7,46.08,45.29,44.39,43.26,46.5,45.09,45.13,44.92,26.29,48.39,1640686.33,65.19,,,,,,,,+_08-04-2024 09:00:00,+_22-01-2024 09:00:00,+,,,,,+,,,,+,+,+,,5,0
SILVR,06-05-2024,21.6,7.89,249.06,20.76,20.28,19.54,18.63,20.92,20.12,20.47,19.96,12.51,22.07,11974377.33,61.42,+,,,,,,,+_22-01-2024 09:00:00,+_29-01-2024 09:00:00,,,+,,+,+,,,+,,,,,5,0
IHAAS,06-05-2024,15.37,5.64,131.12,14.53,14.36,14.38,15.08,14.64,14.34,14.23,14.23,22.71,14.83,6843878.33,47.11,,,,,+,,,+_29-04-2024 09:00:00,-_06-05-2024 09:00:00,+,,,+,,,,,+,,,,+,5,0
ASGYO,06-05-2024,15.35,4.28,148.93,14.82,14.85,15.07,15.51,14.86,14.89,14.67,14.9,17.15,15.65,41229524.33,47.31,,,+,,,,,-_04-03-2024 09:00:00,-_06-05-2024 09:00:00,,,,,,,,-,+,+,+,,+,5,1
MTRKS,06-05-2024,80.7,17.9,112.76,70.75,69.51,67.47,63.11,71.64,69.18,67.95,70.51,30.19,78.12,4733631.67,64.18,,,,+,,,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,,+,,,,,+,+,,,,5,0
ERCB,06-05-2024,150.9,7.02,122.63,149.11,151.16,151.3,148.22,148.26,151.47,149.9,156.25,81.4,152.93,5303262.67,52.36,+,,,,,,,-_01-04-2024 09:00:00,+_29-01-2024 09:00:00,,-,+,,,+,,,+,+,,,,5,1
SEKUR,06-05-2024,13.8,4.55,169.27,13.61,13.68,13.37,12.57,13.55,13.65,13.79,14.15,6.73,13.89,13559045.0,58.97,+,+,+,,,,,-_15-04-2024 09:00:00,+_22-01-2024 09:00:00,,,+,,,+,,-,,,,,,5,1
FMIZP,06-05-2024,404.25,15.67,60.2,363.98,355.0,345.31,330.96,368.61,352.8,355.15,348.29,170.41,385.17,1299421.0,68.62,,,,,,,,+_18-03-2024 09:00:00,+_26-06-2023 09:00:00,,,,,,+,,+,+,,+,+,,5,0
ISDMR,06-05-2024,38.84,2.59,11.4,37.23,36.99,36.93,36.9,37.44,36.96,36.53,36.99,25.67,38.77,23841755.0,56.45,,,,+,+,+,,+_29-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,+,,,,,+,,,5,0
PRKAB,06-05-2024,42.8,14.26,561.85,38.92,38.25,37.6,36.72,39.33,38.1,37.9,38.02,24.75,42.2,11351542.67,64.52,,,,,,,,+_29-04-2024 09:00:00,+_29-01-2024 09:00:00,,,,+,,+,,,+,,+,+,,5,0
VAKFN,06-05-2024,3.22,3.21,56.05,3.11,3.1,3.11,3.11,3.13,3.1,3.05,3.11,1.81,3.18,160130435.33,53.39,,,,+,+,+,+,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,-,,,,,,+,,5,1
FENER,06-05-2024,92.5,4.93,119.01,90.82,91.79,94.29,96.8,90.79,92.27,89.83,92.21,59.69,90.03,11665920.33,46.36,+,+,,,,,,-_12-02-2024 09:00:00,-_04-03-2024 09:00:00,,,+,+,,-,,+,,,,,,5,1
CIMSA,06-05-2024,33.34,2.84,27.69,32.73,32.78,32.9,32.75,32.78,32.81,32.43,33.01,15.86,33.27,48448894.33,52.77,+,+,+,,,,,-_11-03-2024 09:00:00,-_25-03-2024 09:00:00,,,,+,,-,,+,,,,,,5,1
CASA,06-05-2024,101.8,3.19,-5.63,98.8,98.49,99.0,101.08,99.11,98.51,97.87,98.57,97.62,102.13,210537.0,49.15,,,,+,,,+,+_06-05-2024 09:00:00,-_04-12-2023 09:00:00,,,,+,,-,,-,,+,,,,4,2
YBTAS,06-05-2024,213400.0,13.51,86.11,193025.83,189198.7,183336.99,172424.02,195034.38,188086.74,189027.78,187767.98,67600.84,204393.33,92.33,63.77,,,,,,,,+_29-04-2024 09:00:00,+_10-07-2023 09:00:00,+,,,,,+,,,,+,,+,,4,0
ZEDUR,06-05-2024,113.3,29.93,248.52,93.73,90.04,87.13,84.21,95.92,89.28,88.86,87.18,43.83,108.28,4752530.33,73.16,,,,,,,,+_22-04-2024 09:00:00,+_26-06-2023 09:00:00,+,,,,,+,,,+,,+,,,4,0
BASGZ,06-05-2024,24.68,16.42,45.63,21.99,21.51,21.11,20.65,22.29,21.41,21.24,21.24,17.38,22.92,7533865.67,67.7,,,,,,,,+_29-04-2024 09:00:00,+_22-01-2024 09:00:00,+,+,,,,,,,,,+,+,,4,0
TERA,06-05-2024,50.8,17.7,77.13,44.46,43.19,42.17,40.99,45.21,42.92,42.78,42.1,32.98,48.76,2148041.33,66.99,,,,,,,,+_29-04-2024 09:00:00,+_06-05-2024 09:00:00,+,+,,,,,,,+,,+,,,4,0
MSGYO,06-05-2024,15.29,4.3,112.95,14.59,14.47,14.35,13.98,14.68,14.45,14.3,14.44,7.2,14.95,5726419.0,59.88,,,,,,,,+_29-04-2024 09:00:00,+_05-06-2023 09:00:00,,-,,+,,+,,,+,,,+,,4,1
BIGCH,06-05-2024,37.2,10.71,54.86,34.88,34.01,32.96,31.99,35.23,33.77,34.07,33.37,30.34,35.75,6105130.67,59.07,+,,,,,,,+_08-04-2024 09:00:00,+_01-04-2024 09:00:00,,,+,,,,,+,,,,+,,4,0
BMSCH,06-05-2024,25.94,6.66,150.62,24.8,24.47,23.88,22.9,24.94,24.36,24.47,24.43,13.16,25.96,4406851.67,64.77,,,,,,,,+_08-01-2024 09:00:00,+_08-01-2024 09:00:00,+,,,+,,,,-,,+,,+,,4,1
ENKAI,06-05-2024,39.62,3.88,26.03,38.16,37.75,37.35,36.74,38.39,37.66,37.53,37.49,22.18,39.21,87929683.0,59.63,,,,,,,,+_22-04-2024 09:00:00,+_06-11-2023 09:00:00,+,,,,,+,,+,,,,+,,4,0
DURDO,06-05-2024,17.66,1.79,53.49,17.04,17.01,17.11,17.18,17.12,17.03,16.72,17.05,10.92,17.66,3746603.0,52.92,,,,+,,,+,+_06-05-2024 09:00:00,-_18-03-2024 09:00:00,,,,+,,-,,-,,,,+,,4,2
IHLGM,06-05-2024,1.71,11.76,241.76,1.54,1.51,1.49,1.49,1.57,1.5,1.49,1.48,1.15,1.74,217640910.33,60.43,,,,,,+,,+_29-04-2024 09:00:00,+_06-05-2024 09:00:00,+,,,,,-,,-,+,,+,,,4,2
CUSAN,06-05-2024,26.76,1.21,74.88,26.11,25.82,25.25,24.34,26.22,25.72,25.85,25.83,14.55,27.32,5871602.67,59.47,,,,,,,,+_08-01-2024 09:00:00,+_08-01-2024 09:00:00,+,,,,,+,,-,,+,,+,,4,1
SANKO,06-05-2024,28.64,13.2,116.68,25.8,25.22,24.65,24.0,26.14,25.08,24.93,24.98,13.86,27.43,5339314.67,65.06,,,,,,,,+_22-04-2024 09:00:00,+_29-01-2024 09:00:00,,,,,,+,,+,+,,+,,,4,0
RAYSG,06-05-2024,500.0,14.68,-45.51,462.73,441.59,405.71,354.79,469.19,434.3,457.19,424.02,89.66,475.67,1021889.33,80.2,+,,,,,,,+_05-06-2023 09:00:00,+_05-06-2023 09:00:00,,,+,,,+,,+,,,,,,4,0
KLNMA,06-05-2024,20.26,17.11,116.69,17.72,17.22,16.86,16.48,18.0,17.12,17.14,16.88,9.26,20.37,2143870.33,60.84,,,,,,,,+_29-04-2024 09:00:00,+_12-02-2024 09:00:00,+,,,,,-,,-,+,+,+,,,4,2
FLAP,06-05-2024,10.29,7.19,166.15,10.1,10.42,10.81,10.95,10.03,10.52,10.01,10.95,6.83,9.84,30549524.67,47.64,+,,,,,,,-_25-03-2024 09:00:00,-_01-04-2024 09:00:00,,,+,,,+,,,,,,,+,4,0
PINSU,06-05-2024,23.74,1.45,378.04,23.62,23.29,22.19,20.25,23.64,23.11,23.83,23.36,8.37,24.29,5096137.33,71.43,+,,,,,,,+_06-11-2023 09:00:00,+_26-06-2023 09:00:00,,,+,,,+,,-,+,,-,,,4,2
AKFGY,06-05-2024,2.36,1.72,33.92,2.31,2.31,2.3,2.28,2.31,2.31,2.29,2.33,1.65,2.34,413337947.67,53.12,,,,+,+,,+,+_06-05-2024 09:00:00,+_29-04-2024 09:00:00,,,,,,+,,,,,,,,4,0
QNBFL,06-05-2024,155.0,7.64,31.76,149.27,147.37,141.54,130.83,149.53,146.36,151.21,147.42,42.16,153.83,269642.0,62.88,+,+,,,,,,+_26-02-2024 09:00:00,+_12-06-2023 09:00:00,,,+,,,+,,,,,,,,4,0
ALCAR,06-05-2024,1550.0,5.3,68.78,1502.34,1502.48,1477.74,1407.82,1501.85,1499.81,1502.84,1532.29,616.61,1535.33,357655.0,59.1,+,+,,,,,+,+_06-05-2024 09:00:00,+_26-06-2023 09:00:00,,,,,,+,,,,,,,,4,0
KRDMA,06-05-2024,23.26,3.93,8.83,21.54,21.17,21.11,21.24,21.81,21.13,20.79,20.86,13.76,22.8,10425098.0,58.81,,,,,+,+,,+_29-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,+,,,,,+,,,4,0
VBTYZ,06-05-2024,35.04,1.27,94.64,34.88,34.98,34.63,33.2,34.84,34.96,34.64,35.76,12.92,35.79,18018604.0,55.57,+,+,,,,,,-_01-04-2024 09:00:00,+_06-05-2024 09:00:00,,,+,,,,,,,+,,,,4,0
KRDMB,06-05-2024,21.7,2.07,-9.9,20.3,20.01,19.97,20.07,20.52,19.98,19.64,19.8,13.05,21.4,7934358.0,58.07,,,,,+,+,,+_29-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,+,,,,,+,,,4,0
VAKKO,06-05-2024,111.2,22.2,448.59,95.38,91.88,89.21,86.95,97.35,91.16,91.04,88.86,44.7,107.23,5898994.33,73.02,,,,,,,,+_22-04-2024 09:00:00,+_15-04-2024 09:00:00,+,,,,,+,,+,+,,,,,4,0
KAPLM,06-05-2024,185.9,6.59,60.78,176.34,170.81,160.93,148.38,177.96,168.81,175.3,167.86,75.32,181.57,748547.0,69.03,,,,,,,,+_29-01-2024 09:00:00,+_12-02-2024 09:00:00,,,,,,+,,+,+,-,,+,,4,1
OZKGY,06-05-2024,9.03,1.69,35.04,8.79,8.79,8.83,8.84,8.81,8.8,8.68,8.85,5.2,8.85,53027078.67,52.22,,,,+,,,+,+_06-05-2024 09:00:00,-_25-03-2024 09:00:00,,,,,,-,,,,,,+,,3,1
TTRAK,06-05-2024,979.5,3.98,8.94,942.64,929.48,906.13,870.95,947.35,924.85,937.71,925.1,385.54,972.5,2060943.67,66.91,,,,,,,,+_29-01-2024 09:00:00,+_22-01-2024 09:00:00,,,,,,+,,,,+,,+,,3,0
SKYMD,06-05-2024,12.22,6.08,7.84,11.65,11.52,11.34,11.12,11.72,11.48,11.46,11.51,10.69,11.7,38605549.33,59.99,,,,,,,,+_22-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,+,,,,,,+,,+,,3,0
PAMEL,06-05-2024,151.0,5.08,99.95,143.28,141.77,140.88,141.45,144.27,141.49,140.54,141.24,116.25,148.3,1660470.33,54.31,,,,,,+,,+_29-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,+,,,+,,,,,3,0
KLGYO,06-05-2024,6.93,15.12,266.39,6.12,5.87,5.52,5.09,6.23,5.79,5.91,5.74,2.52,6.45,293624997.0,74.17,,,,,,,,+_29-01-2024 09:00:00,+_05-02-2024 09:00:00,,,,,,+,,+,,,,+,,3,0
SKBNK,06-05-2024,4.99,1.42,36.88,4.85,4.8,4.83,4.91,4.88,4.79,4.76,4.71,2.91,4.94,345564993.0,51.25,,,,,+,,,+_22-04-2024 09:00:00,-_02-01-2024 09:00:00,,,,,,-,,,,,+,,+,3,1
TURGG,06-05-2024,643.0,6.63,18.23,644.84,652.97,648.25,619.63,640.32,653.56,653.57,672.63,279.04,638.17,272303.67,54.51,,,,,,,,-_15-04-2024 09:00:00,+_03-07-2023 09:00:00,,,+,,,+,,+,,,,,,3,0
