Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
AFYON,25-03-2024,14.08,17.53,403.18,13.02,12.9,12.79,13.08,12.88,12.99,12.78,7.28,14.04,50882104.33,59.06,+,+,+,+,+,+,,,+,+,,-,,+,+,+,,+,,12,1
AGROT,25-03-2024,37.28,21.43,-6.41,34.05,32.8,30.39,34.31,32.3,34.9,31.87,23.87,36.39,167351454.0,63.38,+,+,,,,,,,+,+,,,,+,,,,,,5,0
XU100,25-03-2024,9043.46,-0.75,-16.77,9030.35,8948.11,8770.05,9043.04,8913.51,9077.94,8877.77,4404.16,9042.83,12396465336.33,63.82,,,,,,,,,,,,+,,,-,,,,,1,1
ACSEL,25-03-2024,146.7,-10.38,-53.73,157.87,155.47,149.5,157.66,154.31,160.82,151.9,63.26,152.43,1251283.33,55.66,-,-,-,,,,,,,-,,+,,-,-,,,,,1,6
AEFES,25-03-2024,149.7,-3.11,-38.98,149.03,147.71,143.88,149.26,147.06,149.71,147.7,63.91,149.77,17510803.0,61.67,,,,,,,,,,,,+,,-,-,,,,,1,2
AGHOL,25-03-2024,269.5,2.67,-4.13,261.96,256.87,248.28,263.44,255.1,261.53,252.71,103.95,264.3,5738000.0,68.1,,,,,,,,,,,,+,,,,,,,,1,0
AGYO,25-03-2024,8.25,-14.95,36.05,9.25,9.36,9.29,9.15,9.36,9.48,9.47,4.83,8.86,17781742.33,47.06,,-,-,-,-,-,,,,,,+,,-,-,,,,,1,7
A1CAP,25-03-2024,28.08,-6.59,-8.79,30.52,30.97,31.35,30.19,31.05,31.45,31.18,34.08,28.94,9498227.0,39.5,,,,,,,,,,,,,,,-,,,,,0,1
ADEL,25-03-2024,667.5,-2.55,-36.94,640.47,605.72,564.37,652.57,595.78,625.4,566.44,189.41,694.67,3536169.0,65.58,,,,,,,,,,,,-,,,-,,,,,0,2
ADESE,25-03-2024,2.29,-5.76,-29.24,2.54,2.56,2.51,2.51,2.55,2.65,2.58,1.68,2.34,271040554.0,49.12,,,,-,,-,,,,,,-,,,-,,-,,,0,5
ADGYO,25-03-2024,28.6,-4.67,-34.87,32.24,33.07,33.41,31.66,33.19,33.86,33.69,33.45,28.77,10283537.67,38.36,,,,,,,,,,,,,,,-,,-,,,0,2
AGESA,25-03-2024,71.2,-5.51,-38.92,70.6,68.41,65.75,71.35,67.78,69.55,65.97,33.38,71.32,4060846.33,64.37,,,,,,,,,-,,,-,,-,-,-,,,,0,5
AVPGY,25-03-2024,44.12,0.09,-23.9,44.94,45.66,46.21,44.61,45.82,45.65,46.56,46.66,44.78,25827436.67,44.39,,,,,,,,,,,,,,-,,,,,,0,1
