Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
IZMDC,25-03-2024,7.1,15.26,217.6,6.62,6.55,6.47,6.65,6.53,6.61,6.5,4.42,6.8,86454289.67,59.42,+,+,+,+,,+,,,+,+,+,-,,+,+,,,+,+,12,1
POLHO,25-03-2024,15.32,15.02,128.73,14.37,14.33,14.3,14.4,14.33,14.35,14.36,8.47,14.65,35722816.0,55.29,+,+,+,+,+,+,,,+,+,,-,,+,+,,,+,+,12,1
HDFGS,25-03-2024,2.19,14.06,137.45,2.07,2.06,2.03,2.08,2.05,2.08,2.04,1.37,2.12,140587826.67,58.97,+,+,+,+,,+,,,+,+,,-,,+,+,,+,+,,11,1
AFYON,25-03-2024,13.67,14.11,505.44,12.89,12.81,12.73,12.92,12.79,12.91,12.73,7.27,13.9,58190686.67,57.23,+,+,+,+,+,+,,,+,+,,-,,,+,+,,+,,11,1
YGGYO,25-03-2024,45.44,7.07,203.8,44.52,44.0,43.03,44.6,43.79,44.79,43.4,25.2,44.45,1163803.33,61.85,+,+,+,,,,,,+,+,,+,,+,+,,,+,,9,0
VAKBN,25-03-2024,14.56,8.17,20.63,14.07,14.11,14.18,14.07,14.13,14.12,14.17,8.71,14.3,208057991.0,53.35,+,+,+,,,,,,+,+,,-,,+,,,,+,,7,1
BURCE,25-03-2024,187.0,8.09,-51.52,181.33,178.66,172.3,181.66,177.44,183.7,176.45,71.52,178.7,1796620.33,59.8,+,+,,,,,,,+,+,,+,,+,,,,+,,7,0
IPEKE,25-03-2024,41.42,10.28,35.86,40.54,40.14,39.6,40.6,40.0,40.85,39.51,24.88,39.61,25017897.0,54.34,+,+,+,,,,,,+,+,,-,,+,,,,+,,7,1
DAPGM,25-03-2024,33.42,7.12,9.93,32.97,32.96,34.06,33.0,33.07,33.25,31.94,31.18,32.8,46876537.33,44.76,+,+,,+,,,,,+,+,,,,+,,,,,,6,0
ARSAN,25-03-2024,13.95,5.36,29.46,13.65,13.45,13.07,13.69,13.38,13.74,13.29,6.45,13.84,8449558.33,63.32,+,+,,,,,,,+,+,,+,,,,,,+,,6,0
BEYAZ,25-03-2024,22.5,1.72,35.53,22.43,22.33,22.05,22.43,22.28,22.64,22.17,13.72,23.23,11050207.33,55.21,+,+,,,,,,+,+,,,+,,,,+,,,,6,0
BUCIM,25-03-2024,8.11,3.05,5.43,8.08,8.09,8.1,8.06,8.1,8.17,8.09,4.68,8.03,110197194.33,50.79,+,+,+,,,,,,+,,,-,,+,,,,+,,6,1
CANTE,25-03-2024,18.6,10.65,198.6,18.0,18.05,18.12,17.98,18.06,18.15,18.09,16.32,18.28,90326016.67,49.11,+,+,+,,,,,,+,+,,,,+,,,,,,6,0
PEGYO,25-03-2024,22.0,4.76,27.52,21.64,21.55,20.84,21.61,21.46,21.83,21.86,6.61,21.44,29020461.67,63.2,+,+,,,,,-,,+,+,,+,,+,,,,,,6,1
EKOS,25-03-2024,54.75,13.21,44.47,53.77,54.23,53.48,53.38,54.16,55.27,55.73,48.87,51.89,34090301.33,53.45,+,+,+,,,,-,,+,,,,+,+,,,,,,6,1
KOZAL,25-03-2024,23.3,3.1,4.15,23.19,23.0,22.81,23.22,22.94,23.32,22.68,14.52,22.6,376621047.67,51.39,+,+,+,,,,,,+,+,,-,,+,,,,,,6,1
GRSEL,25-03-2024,81.0,11.88,-4.66,77.11,76.29,74.29,77.32,75.94,77.72,75.65,33.43,75.67,6180205.67,62.73,+,+,+,,,,,,+,+,,,,+,,,,,,6,0
AGROT,25-03-2024,36.58,19.15,50.99,33.82,32.64,30.29,34.03,32.16,34.76,31.79,23.83,36.15,199633869.33,62.78,+,+,,,,,,,+,+,,,,+,,,,,,5,0
ZOREN,25-03-2024,5.95,12.9,39.01,5.52,5.4,5.26,5.56,5.37,5.5,5.27,2.81,5.84,1440243803.33,63.08,+,,,,,,,,+,+,,-,,+,,+,,,,5,1
UMPAS,25-03-2024,12.7,13.19,30.1,11.94,11.53,10.85,12.05,11.39,11.93,11.13,3.76,12.07,574345.33,63.99,+,,,,,,,,+,,,+,,+,,,,+,,5,0
SILVR,25-03-2024,18.9,4.36,-47.12,18.74,18.38,17.76,18.8,18.25,18.86,18.0,12.1,18.06,10921493.0,59.26,+,+,,,,,,,+,,,+,,+,,,,,,5,0
CUSAN,25-03-2024,25.5,3.24,-41.03,25.41,25.02,24.17,25.44,24.85,25.72,24.64,13.88,25.35,8062578.33,57.32,+,+,,,,,,,+,,,+,,+,,,,,,5,0
AYEN,25-03-2024,28.0,5.66,85.91,27.62,27.68,27.75,27.56,27.68,28.02,27.69,19.98,27.37,4365000.67,48.42,+,+,+,,,,,,+,,,-,,,,,,,+,5,1
LIDER,25-03-2024,78.65,17.04,133.28,71.35,69.52,67.6,72.18,69.05,70.21,67.54,40.79,74.67,10697708.33,61.56,+,,,,,,,,+,,,,,+,,+,+,,,5,0
AKSA,25-03-2024,101.7,3.72,15.75,101.38,100.63,98.75,101.38,100.27,102.28,99.98,55.62,100.17,10662814.33,56.93,+,+,+,,,,,,+,,,-,,+,,,,,,5,1
EUYO,25-03-2024,19.7,9.99,-40.54,18.94,18.21,17.26,19.14,17.99,18.75,17.28,7.01,19.06,6648392.33,60.91,+,,,,,,,,+,+,,+,,+,,,,,,5,0
MEPET,25-03-2024,13.56,16.39,6.24,12.54,12.03,11.26,12.7,11.86,12.45,11.48,5.0,12.84,3838223.33,69.19,+,,,,,,,,+,,,+,,+,,,,+,,5,0
GEDZA,25-03-2024,27.8,3.58,-14.62,27.38,26.91,25.9,27.45,26.71,27.78,26.44,12.89,26.88,3909411.67,60.53,+,,,,,,,,+,,,+,,+,,,,,,4,0
NETAS,25-03-2024,87.45,12.12,-30.91,81.28,76.93,70.68,82.59,75.53,80.5,72.41,31.28,81.3,5042745.0,74.74,+,,,,,,,,+,,,+,,+,,,,,,4,0
KOZAA,25-03-2024,49.98,5.4,3.96,49.82,49.94,50.18,49.71,49.96,50.39,49.76,34.22,48.18,45892047.0,48.02,+,+,,,,,,,+,,,-,,+,,,,,,4,1
ICUGS,25-03-2024,16.82,7.61,-54.58,16.2,15.77,14.87,16.29,15.6,16.31,15.53,5.28,16.15,3052808.67,71.43,+,,,,,,,,+,,,+,,+,,,,,,4,0
BOBET,25-03-2024,36.08,4.34,29.68,35.96,36.09,35.96,35.84,36.09,36.46,36.36,14.49,35.21,16426336.0,53.63,+,,+,,+,,,,+,,,,,,,,,,,4,0
TDGYO,25-03-2024,10.85,2.84,24.69,10.75,10.56,10.19,10.78,10.48,10.87,10.36,5.06,11.25,25280893.0,56.95,+,,,,,,,,+,,,+,,,,,,,,3,0
SONME,25-03-2024,79.55,3.31,22.58,78.78,77.48,75.07,79.03,76.99,79.34,75.51,37.71,81.85,572229.67,59.99,+,,,,,,,,+,,,+,,,,,,,,3,0
SNGYO,25-03-2024,4.11,1.23,-48.96,4.05,3.94,3.76,4.08,3.9,4.04,3.82,2.72,4.05,115272607.33,69.21,,,,,,,,,,,+,+,,+,,-,,,,3,1
DITAS,25-03-2024,23.72,31.49,429.17,19.78,18.95,18.26,20.22,18.77,19.06,18.08,10.57,21.93,9080735.33,68.11,,,,,,,,+,,,,+,,,+,,,,,3,0
SASA,25-03-2024,42.78,4.49,28.94,40.86,40.52,40.63,41.08,40.48,40.6,39.83,28.64,42.05,318218956.67,50.64,,,,,+,,,,,+,,-,,,,+,,,,3,1
DERIM,25-03-2024,32.4,11.72,46.69,28.72,26.47,23.88,29.58,25.84,27.31,24.06,9.93,31.73,3111713.0,77.68,,,,,,,,,,,,+,,+,,+,,,,3,0
ISSEN,25-03-2024,11.11,9.89,-21.54,11.07,11.2,11.36,11.0,11.23,11.31,11.31,14.14,10.7,8046188.33,41.99,+,,,,,,-,,+,,,,,+,,,,,,3,1
GSDDE,25-03-2024,9.45,1.61,262.82,9.67,9.61,9.41,9.65,9.57,9.83,9.55,5.54,9.93,18958245.0,54.73,,,+,,,,,,,,,+,,,+,,,,,3,0
MACKO,25-03-2024,75.8,5.72,115.13,75.16,75.87,76.9,74.86,76.08,76.24,76.24,75.17,71.95,2600965.67,47.03,+,,,,,,,,+,,,,+,,,,,,-,3,1
SANFM,25-03-2024,65.2,2.84,129.39,64.49,62.75,58.96,64.78,62.03,65.27,61.18,19.98,65.53,4321581.0,66.71,+,,,,,,,,+,,,+,,,,,,,,3,0
ISCTR,25-03-2024,11.39,3.36,25.98,10.96,10.8,10.52,11.02,10.75,10.92,10.71,4.59,11.34,1939208320.0,64.47,,,,,,,,,,,,+,,,,+,,+,,3,0
ALTIN,25-03-2024,25.29,4.59,-48.41,24.54,24.21,23.64,24.65,24.1,24.37,24.02,17.73,24.95,265631965.0,73.71,,,,,,,,,+,+,,,,,,,+,,,3,0
ALCAR,25-03-2024,1615.0,3.46,-23.1,1610.66,1556.13,1466.13,1622.79,1537.03,1612.31,1490.38,563.21,1612.67,632273.33,63.15,+,,,,,,,,,,,+,,+,,-,,,,3,1
ALFAS,25-03-2024,97.55,8.21,38.4,96.95,98.32,99.89,96.31,98.67,99.3,99.33,77.79,93.98,18630439.0,48.26,+,,,,,,-,,+,,,,,,,,,,+,3,1
ARASE,25-03-2024,64.6,4.53,19.38,64.72,65.04,64.33,64.42,64.98,65.96,65.72,40.9,63.68,4873243.67,54.98,,,+,,,,,,+,,,,,+,,,,,,3,0
VANGD,25-03-2024,23.98,3.54,-27.83,22.62,21.94,21.39,22.93,21.79,22.09,20.85,9.33,23.32,3424576.0,59.68,,,,,,,,,,,,+,,+,,,+,,,3,0
HATEK,25-03-2024,13.57,-2.16,-44.01,14.4,14.39,14.04,14.31,14.34,14.84,14.35,7.85,13.55,17856541.33,52.65,,,,,,-,,,,,,+,,+,-,,-,,,2,3
MAGEN,25-03-2024,15.24,2.56,255.79,14.98,14.67,14.51,15.07,14.6,14.96,14.09,9.05,15.59,70164240.0,51.4,,,,,,,,,+,,-,,,,+,,,,,2,1
